name,style
Emily Kagan,grappler
Sirwan Kakai,grappler
Saidyokub Kakhramonov,grappler
Geza Kalman,striker
Kai Kamaka,grappler
Martin Kampmann,grappler
Bharat Kandare,grappler
Masanori Kanehara,grappler
Denis Kang,grappler
Kyung Ho Kang,grappler
Manel Kape,striker
David Kaplan,grappler
Kai Kara-France,striker
Alex Karalexis,striker
Ernesta Kareckaite,grappler
Impa Kasanganay,grappler
Nadia Kassem,grappler
Yusuke Kasuya,grappler
Brad Katona,grappler
Calvin Kattar,striker
Sarah Kaufman,grappler
Lone'er Kavanagh,grappler
Tatsuya Kawajiri,grappler
Toshiomi Kazama,grappler
Julie Kedzie,grappler
CJ Keith,striker
Chris Kelades,grappler
Brian Kelleher,grappler
Tony Kelley,striker
Paul Kelly,grappler
Daniel Kelly,grappler
Tim Kennedy,grappler
Steve Kennedy,grappler
Jeremy Kennedy,grappler
Casey Kenney,grappler
Mark Kerr,striker
Rustam Khabilov,grappler
Sergey Khandozhko,grappler
Aliaskhab Khizriev,grappler
Pannie Kianzad,striker
Katsunori Kikuno,grappler
Sanae Kikuta,grappler
Jacob Kilburn,grappler
Dong Hyun Kim,grappler
Ji Yeon Kim,striker
Jeremy Kimball,grappler
Rob Kimmons,grappler
Dustin Kimura,striker
Mike King,grappler
Kyle Kingsbury,grappler
Yusaku Kinoshita,striker
Kamuela Kirk,grappler
Justine Kish,grappler
Koji Kitao,grappler
Ludovit Klein,grappler
Nick Klein,grappler
Fatima Kline,grappler
Drakkar Klose,grappler
Jason Knight,grappler
William Knight,grappler
Josefine Knutsson,grappler
Erik Koch,grappler
Brad Kohler,grappler
Tsuyoshi Kohsaka,striker
John Kolosci,grappler
Yuki Kondo,striker
Syuri Kondo,striker
Cheick Kongo,grappler
Roman Kopylov,grappler
Bruno Korea,grappler
Josh Koscheck,grappler
Steven Koslow,grappler
Naoyuki Kotani,grappler
Karolina Kowalkiewicz,striker
Derrick Krantz,grappler
James Krause,striker
Pascal Krauss,grappler
Kaynan Kruschewsky,grappler
Nikita Krylov,grappler
Michael Kuiper,grappler
Anton Kuivanen,grappler
Aleksei Kunchenko,striker
Keigo Kunihara,grappler
Kiichi Kunimoto,grappler
Leo Kuntz,grappler
Guram Kutateladze,striker
Mike Kyle,grappler
Daniel Lacerda,grappler
Luan Lacerda,grappler
Aspen Ladd,grappler
Ryan LaFlare,grappler
Noad Lahat,grappler
Tina Lahdemaki,grappler
Yohan Lainesse,grappler
Tim Lajcik,striker
Ricardo Lamas,grappler
Jason Lambert,grappler
Nate Landwehr,striker
Austen Lane,grappler
Lina Lansberg,striker
Taylor Lapilus,striker
Chad Laprise,grappler
Anthony Lapsley,striker
TJ Laramie,grappler
Icho Larenas,grappler
Lorenz Larkin,striker
Jeremy Larsen,grappler
Brock Larson,grappler
Ilir Latifi,grappler
Sione Latu,grappler
Jenel Lausa,striker
Joe Lauzon,grappler
Dan Lauzon,grappler
Robbie Lawler,grappler
Tom Lawlor,grappler
Justin Lawrence,grappler
Ronnie Lawrence,grappler
Valmir Lazaro,grappler
Zviad Lazishvili,grappler
Mounir Lazzez,grappler
Cung Le,striker
Quang Le,grappler
Carlos Leal,grappler
Jordan Leavitt,grappler
Chris Leben,grappler
Mickael Lebout,striker
Justin Ledet,striker
James Lee,grappler
David Lee,striker
Jackie Lee,grappler
Vaughan Lee,striker
Kevin Lee,grappler
Rocky Lee,grappler
Andrea Lee,grappler
JeongYeong Lee,grappler
ChangHo Lee,grappler
Thales Leites,grappler
Amanda Lemos,grappler
Christophe Leninger,striker
Jesse Lennox,grappler
Nik Lentz,grappler
Alberta Cerra Leon,grappler
Victoria Leonardo,striker
Kimo Leopoldo,grappler
Brock Lesnar,grappler
Frank Lester,grappler
Valerie Letourneau,grappler
Leah Letson,grappler
Justin Levens,striker
Marcus LeVesseur,grappler
David Levicki,grappler
Natan Levy,grappler
John Lewis,grappler
Derrick Lewis,striker
Bevon Lewis,striker
Li Jingliang,striker
Liang Na,grappler
Jess Liaudin,grappler
Chuck Liddell,striker
Zach Light,grappler
Chris Liguori,grappler
Hyun Gyu Lim,striker
Juliana Lima,grappler
Dhiego Lima,striker
Andre Lima,grappler
Felipe Lima,grappler
Matt Lindland,grappler
Jake Lindsey,grappler
John Lineker,striker
Austin Lingo,striker
Lucio Linhares,grappler
Philipe Lins,grappler
Tainara Lisboa,grappler
Dean Lister,grappler
James Llontop,striker
Abner Lloveras,grappler
John Lober,grappler
Artem Lobov,striker
Ryan Loder,grappler
David Loiseau,striker
Hector Lombard,grappler
Loma Lookboonmee,grappler
Ange Loosa,grappler
Dileno Lopes,grappler
Diego Lopes,striker
Bruno Lopes,grappler
Steve Lopez,striker
Jorge Lopez,grappler
Matthew Lopez,grappler
Benito Lopez,striker
Gustavo Lopez,grappler
Brendan Loughnane,grappler
Nate Loughran,striker
Caolan Loughran,grappler
Ian Loveland,grappler
Waylon Lowe,grappler
Robert Lucarelli,grappler
Matt Lucas,grappler
Stephanie Luciano,grappler
Iasmin Lucindo,grappler
Duane Ludwig,striker
Mike Lullo,grappler
Dalcha Lungiambula,grappler
Vicente Luque,striker
Thaddeus Luster,grappler
Travis Lutter,grappler
Tucker Lutz,grappler
Stevie Lynch,grappler
Chris Lytle,striker
Dong Hyun Ma,grappler
William Macario,grappler
Jason MacDonald,grappler
Rob MacDonald,grappler
Rory MacDonald,grappler
Ryan MacDonald,striker
Caio Machado,striker
Ian Machado Garry,striker
Lyoto Machida,grappler
War Machine,grappler
Anthony Macias,striker
Reza Madadi,grappler
Don Madge,grappler
Ryan Madigan,grappler
Jon Madsen,grappler
Mark Madsen,grappler
Leonardo Mafra,grappler
Vinny Magalhaes,grappler
Caio Magalhaes,striker
Bernardo Magalhaes,striker
Angela Magana,striker
Neil Magny,grappler
Rashid Magomedov,grappler
Ruslan Magomedov,striker
Abus Magomedov,grappler
Shara Magomedov,striker
Zabit Magomedsharipov,grappler
John Maguire,grappler
Maheshate,striker
Bill Mahood,grappler
Demian Maia,grappler
Jennifer Maia,striker
Levan Makashvili,grappler
John Makdessi,striker
Islam Makhachev,grappler
Zach Makovsky,grappler
Azat Maksum,grappler
Fabio Maldonado,striker
Bea Malecki,striker
Nazareno Malegarie,grappler
Jacob Malkoun,grappler
Mike Malott,grappler
Troy Mandaloniz,grappler
Nate Maness,striker
Jon Manley,grappler
Marnic Mann,grappler
Jimi Manuwa,striker
Cristiano Marcello,striker
Daniel Marcos,grappler
Jose Maria,grappler
Marcos Mariano,striker
Enrique Marin,grappler
Chepe Mariscal,grappler
Ronny Markes,grappler
Rory Markham,striker
Randa Markos,grappler
Christina Marks,grappler
Brendon Marotte,striker
Nate Marquardt,grappler
Danilo Marques,grappler
Julian Marquez,striker
Carmelo Marrero,grappler
Cesar Marscucci,grappler
John Marsh,grappler
Eliot Marshall,grappler
Francis Marshall,grappler
Jack Marshman,striker
Terry Martin,grappler
Eric Martin,grappler
Justin Martin,grappler
Anthony Rocco Martin,striker
Mallory Martin,grappler
Rainy Martinez,grappler
Danny Martinez,grappler
Henry Martinez,striker
Jonathan Martinez,striker
Mana Martinez,grappler
Victor Martinez,striker
Roque Martinez,striker
Melissa Martinez,grappler
David Martinez,grappler
Adriano Martins,striker
Lucas Martins,striker
Bristol Marunde,grappler
Mike Massenzio,grappler
Jorge Masvidal,striker
Tateki Matsuda,striker
Jean Matsumoto,grappler
Jake Matthews,grappler
Connor Matthews,grappler
John Matua,grappler
Francesco Maturi,grappler
Vladimir Matyushenko,grappler
Miranda Maverick,grappler
Nick Maximov,grappler
Jack May,grappler
Don'Tale Mayes,striker
Gray Maynard,grappler
Gina Mazany,grappler
Sabina Mazo,striker
Michael McBride,grappler
Ian McCall,grappler
Molly McCann,grappler
Charles McCarthy,grappler
Eric McConico,grappler
Sean McCorkle,grappler
Kris McCray,grappler
Tamdan McCrory,grappler
Justin McCully,grappler
Robert McDaniel,grappler
Michael McDonald,striker
Drew McFedries,striker
Gan McGee,grappler
Court McGee,grappler
Marcus McGhee,striker
Ryan McGillivray,grappler
Jack McGlaughlin,grappler
Conor McGregor,striker
Antonio McKee,grappler
Rhys McKee,striker
Cory McKenna,grappler
Tim McKenzie,grappler
Cody McKenzie,grappler
Terrance McKinney,grappler
Garreth McLellan,grappler
Sara McMann,grappler
James McSweeney,striker
Tim Means,grappler
Yancy Medeiros,striker
Anistavio Medeiros,grappler
MarQuel Mederos,striker
Uros Medic,striker
Todd Medina,grappler
Jose Daniel Medina,grappler
Emil Meek,striker
Gerald Meerschaert,grappler
Jordan Mein,grappler
Brian Melancon,grappler
Brandon Melendez,grappler
Gilbert Melendez,striker
Marcelo Mello,grappler
Vanessa Melo,striker
Antonio Mendes,grappler
Chad Mendes,grappler
Augusto Mendes,grappler
Eddie Mendez,grappler
Mateus Mendonca,grappler
Alonzo Menifield,striker
Ivan Menjivar,striker
Dave Menne,striker
Joe Merritt,grappler
Jonathan Meunier,grappler
Yaotzin Meza,grappler
Guy Mezger,striker
Jonathan Micallef,grappler
Andreas Michailidis,grappler
David Michaud,grappler
Kristof Midoux,grappler
Keith Mielke,grappler
Bojan Mihajlovic,striker
Billy Miles,grappler
Pat Miletich,grappler
Curtis Millender,striker
Phillip Miller,grappler
Jason Miller,grappler
Dan Miller,grappler
Jim Miller,grappler
Cole Miller,striker
Juliana Miller,grappler
Che Mills,grappler
Adam Milstead,striker
Alberto Mina,grappler
Darrick Minner,grappler
Ikuhisa Minowa,grappler
Carlton Minus,striker
Stipe Miocic,grappler
Frank Mir,grappler
Mario Miranda,grappler
Vitor Miranda,grappler
Gabriel Miranda,grappler
Dokonjonosuke Mishima,grappler
Felix Lee Mitchell,striker
David Mitchell,striker
Danny Mitchell,striker
Bryce Mitchell,grappler
Terrence Mitchell,grappler
Roman Mitichyan,grappler
Matt Mitrione,striker
Eiji Mitsuoka,grappler
Takeya Mizugaki,grappler
Mizuki,striker
Roxanne Modafferi,grappler
Bobby Moffett,grappler
Nate Mohr,striker
Renato Moicano,grappler
Thiago Moises,grappler
Muhammad Mokaev,grappler
Ashkan Mokhtarian,grappler
Suman Mokhtarian,striker
Jeff Molina,striker
Rudyard Moncayo,grappler
Jeff Monson,grappler
Darrell Montague,striker
Augusto Montano,striker
Erick Montano,grappler
Nicco Montano,grappler
Steve Montgomery,striker
James Moontasri,striker
Homer Moore,grappler
Sergio Moraes,grappler
Marlon Moraes,grappler
Sheymon Moraes,striker
John Moraga,striker
Leonardo Morales,striker
Albert Morales,grappler
Joseph Morales,striker
Vince Morales,striker
Omar Morales,striker
Michael Morales,striker
Sarah Moras,striker
Christian Morecraft,grappler
Joe Moreira,grappler
Richardson Moreira,striker
Vinicius Moreira,striker
Brandon Moreno,grappler
Dan Moret,grappler
Sammy Morgan,striker
Peggy Morgan,grappler
Alex Morono,striker
Maryna Moroz,striker
Sergey Morozov,grappler
Brad Morris,striker
Scott Morris,grappler
Harry Moskowitz,grappler
Carlos Mota,grappler
Nikolas Motta,striker
Flavio Luiz Moura,grappler
Eduarda Moura,grappler
Gegard Mousasi,grappler
Kris Moutinho,striker
Jamie Moyle,grappler
Askar Mozharov,grappler
Lauren Mueller,grappler
Belal Muhammad,grappler
Quinn Mulhern,striker
James Mulheron,grappler
Jamie Mullarkey,grappler
Jim Mullen,grappler
Melissa Mullins,grappler
Pedro Munhoz,striker
Andre Muniz,grappler
Mark Munoz,grappler
Alexander Munoz,grappler
Johnny Munoz,grappler
Makhmud Muradov,grappler
Kanako Murata,grappler
Tom Murphy,grappler
Lauren Murphy,grappler
Lerone Murphy,grappler
Lee Murray,grappler
Khalid Murtazaliev,grappler
Azamat Murzakanov,striker
Josias Musasa,grappler
Nicholas Musoke,grappler
Magomed Mustafaev,grappler
Elvis Mutapcic,striker
Muhammad Naimov,grappler
Rin Nakai,grappler
Kazuhiro Nakamura,grappler
Keita Nakamura,grappler
Rinya Nakamura,grappler
Jutaro Nakao,striker
Yui Chul Nam,grappler
Tyson Nam,striker
Rose Namajunas,grappler
Nad Narimani,grappler
Roger Narvaez,striker
Allan Nascimento,grappler
Rodrigo Nascimento,grappler
Bobby Nash,grappler
Reza Nasri,grappler
Rafael Natal,grappler
Kevin Natividad,grappler
Ismail Naurdiev,grappler
Tafon Nchukwi,grappler
Dustin Neace,grappler
Geoff Neal,striker
Stanislav Nedkov,grappler
Josh Neer,grappler
Nicolae Negumereanu,grappler
Steve Nelmark,striker
Shane Nelson,grappler
Roy Nelson,grappler
Gunnar Nelson,grappler
Kyle Nelson,striker
Mario Neto,grappler
Antonio Braga Neto,grappler
Journey Newson,striker
Jeff Newton,grappler
Carlos Newton,grappler
Francis Ngannou,striker
Ben Nguyen,striker
Steven Nguyen,grappler
Alex Nicholson,striker
Bo Nickal,grappler
Mike Nickels,grappler
Matheus Nicolau,grappler
Stewart Nicoll,grappler
Tom Niinimaki,grappler
Ramsey Nijem,grappler
Jack Nilson,striker
Mats Nilsson,grappler
Guangyou Ning,grappler
Anthony Njokuani,striker
Chidi Njokuani,striker
Derrick Noble,grappler
Antonio Rodrigo Nogueira,grappler
Rogerio Nogueira,striker
Kyle Noke,grappler
Tom Nolan,striker
KJ Noons,striker
Sage Northcutt,grappler
Jason Novelli,grappler
Phillipe Nover,grappler
Shayilan Nuerdanbieke,grappler
Diego Nunes,grappler
Amanda Nunes,grappler
Nina Nunes,striker
Istela Nunes,striker
Josiane Nunes,striker
Diyar Nurgozhay,grappler
Khabib Nurmagomedov,grappler
Said Nurmagomedov,striker
Abubakar Nurmagomedov,grappler
Umar Nurmagomedov,grappler
Kennedy Nzechukwu,striker
Jake O'Brien,grappler
TJ O'Brien,grappler
Sean O'Connell,striker
Sean O'Malley,striker
Chuck O'Neil,grappler
Casey O'Neill,grappler
Brendan O'Reilly,grappler
Jose Ochoa,grappler
Volkan Oezdemir,striker
Kaan Ofli,striker
Trey Ogden,grappler
Andy Ogle,grappler
Koji Oishi,grappler
Yushin Okami,grappler
Bolaji Oki,grappler
Aleksei Oleinik,grappler
Michal Oleksiejczuk,striker
Rafaello Oliveira,grappler
Charles Oliveira,grappler
Ednaldo Oliveira,striker
Alex Oliveira,grappler
Maria Oliveira,grappler
Saimon Oliveira,striker
Vinicius Oliveira,grappler
Ravena Oliveira,grappler
Wendell Oliveira Marques,striker
Felipe Olivieri,grappler
Gadzhi Omargadzhiev,grappler
Alan Omer,grappler
Daniel Omielanczuk,striker
Michihiro Omigawa,grappler
David Onama,grappler
Charlie Ontiveros,striker
Myktybek Orolbai,grappler
Brian Ortega,grappler
Tito Ortiz,grappler
Dustin Ortiz,grappler
Ode Osbourne,striker
Nick Osipczak,grappler
Nissen Osterneck,grappler
Rachael Ostovich,grappler
Zak Ottow,grappler
Alistair Overeem,striker
Alptekin Ozkilic,grappler
Nick Pace,grappler
Larissa Pacheco,striker
Angel Pacheco,grappler
Teemu Packalen,grappler
Fernando Padilla,striker
Chris Padilla,grappler
Damacio Page,grappler
Michael Page,striker
Dustin Pague,grappler
Raulian Paiva,striker
Fredson Paixao,grappler
Luis Pajuelo,grappler
Bart Palaszewski,striker
Sasha Palatnikov,striker
Soa Palelei,grappler
Rousimar Palhares,grappler
Tulio Palhares,grappler
Alexandre Pantoja,grappler
Jared Papazian,striker
Joe Pardo,grappler
Remco Pardoel,striker
Josh Parisian,grappler
Karo Parisyan,grappler
JunYong Park,grappler
HyunSung Park,grappler
Norman Parke,grappler
Ryan Parker,grappler
Mick Parkin,grappler
Preston Parsons,grappler
Jonny Parsons,grappler
Onassis Parungao,grappler
Ramona Pascual,grappler
Jorge Patino,grappler
Claude Patrick,grappler
Alan Patrick,grappler
Michael Patt,striker
Sam Patterson,grappler
Zac Pauga,striker
Julio Paulino,striker
Sergei Pavlovich,striker
Pawel Pawlak,grappler
Estevan Payan,striker
Roland Payne,grappler
Jonathan Pearce,grappler
Ross Pearson,striker
Andre Pederneiras,grappler
Carlo Pedersoli Jr.,grappler
Tyson Pedro,striker
Trevor Peek,grappler
Filip Pejic,grappler
Kurt Pellegrino,grappler
Julianna Pena,grappler
Luis Pena,grappler
Sherman Pendergarst,grappler
Cathal Pendred,grappler
BJ Penn,grappler
Jessica Penne,grappler
Nick Penner,striker
Raquel Pennington,grappler
Tecia Pennington,striker
Godofredo Pepey,striker
Robert Peralta,striker
Viviane Pereira,striker
Michel Pereira,striker
Alex Pereira,striker
Erik Perez,grappler
Alejandro Perez,striker
Frankie Perez,grappler
Alex Perez,grappler
Markus Perez,grappler
Ailin Perez,grappler
Anthony Perosh,grappler
Thiago Perpetuo,grappler
Hernani Perpetuo,striker
Jay Perrin,grappler
Mike Perry,striker
Raphael Pessoa,striker
Viktor Pesta,grappler
Tony Petarra,grappler
Thomas Petersen,grappler
Steven Peterson,grappler
Vitor Petrino,grappler
Andre Petroski,grappler
Armen Petrosyan,striker
Ivana Petrovic,grappler
Seth Petruzelli,striker
Anthony Pettis,striker
Sergio Pettis,grappler
Forrest Petz,grappler
Cody Pfister,grappler
Nam Phan,striker
Constantinos Philippou,striker
Aaron Phillips,grappler
Elizabeth Phillips,grappler
John Phillips,striker
Kyler Phillips,grappler
Vinc Pichel,grappler
Brad Pickett,grappler
Jamie Pickett,grappler
Oskar Piechota,striker
Mike Pierce,grappler
Joao Pierini,grappler
Sean Pierson,striker
Domingo Pilarte,grappler
Paddy Pimblett,grappler
Daniel Pineda,grappler
Jesus Pinedo,grappler
Pingyuan Liu,striker
Luana Pinheiro,grappler
Mario Pinto,grappler
Gaetano Pirrello,striker
Maki Pitolo,grappler
Jamal Pogues,grappler
Ross Pointon,striker
Dustin Poirier,grappler
Igor Pokrajac,grappler
John Polakowski,grappler
Julia Polastri,grappler
Santiago Ponzinibbio,striker
Grigory Popov,striker
Parker Porter,striker
Ihor Potieria,striker
Callan Potter,grappler
Ruan Potts,grappler
Devin Powell,striker
Marcin Prachnio,striker
Wagner Prado,striker
Francisco Prado,striker
Trevor Prangley,grappler
Carlo Prater,striker
Carlos Prates,grappler
Michel Prazeres,grappler
Kyle Prepolec,striker
Dorian Price,grappler
Chris Price,striker
Niko Price,grappler
Shane Primm,grappler
Jiri Prochazka,striker
Lara Procopio,grappler
Joe Proctor,striker
Lucie Pudilova,grappler
Claudio Puelles,grappler
Juan Manuel Puig,striker
Jens Pulver,striker
Andrey Pulyaev,grappler
CM Punk,grappler
Joe Pyfer,striker
Mike Pyle,grappler
Billy Quarantillo,grappler
Nate Quarry,striker
Vinicius Queiroz,grappler
Jimmy Quinlan,grappler
Josh Quinlan,striker
Michel Quinones,striker
Landon Quinones,grappler
Jose Quinonez,grappler
Cristian Quinonez,grappler
Benji Radach,striker
Jordan Radev,striker
Charles Radtke,striker
Loik Radzhabov,grappler
Josh Rafferty,grappler
Ricky Rainey,striker
Shavkat Rakhmonov,grappler
Aleksandar Rakic,striker
Jessica Rakoczy,grappler
Zygimantas Ramaska,grappler
Thomas Ramirez,grappler
Hector Ramirez,grappler
Mitch Ramirez,grappler
Luis Ramos,grappler
Ricardo Ramos,grappler
Davi Ramos,grappler
Vernon Ramos Ho,grappler
Kevin Randleman,grappler
Mitch Raposo,grappler
Bec Rawlings,striker
Gideon Ray,grappler
Stevie Ray,striker
Abdul Razak Alhassan,striker
Mateusz Rebecki,grappler
Paul Redmond,striker
Elise Reed,striker
Johnny Rees,grappler
Zachary Reese,grappler
Chad Reiner,grappler
Jason Reinhardt,grappler
Wilson Reis,grappler
Goran Reljic,grappler
Leigh Remedios,grappler
Chance Rencountre,grappler
Montserrat Rendon,grappler
Marion Reneau,striker
Marco Polo Reyes,striker
Dominick Reyes,striker
Alex Reyes,grappler
Johnny Rhodes,striker
Mike Rhodes,grappler
Amanda Ribas,grappler
Claudio Ribeiro,striker
Brendson Ribeiro,grappler
Esteban Ribovics,striker
Mike Ricci,grappler
Alex Ricci,striker
Tabatha Ricci,grappler
Brad Riddell,grappler
Matthew Riddle,grappler
Joe Riggs,grappler
Aaron Riley,grappler
Jordan Rinaldi,grappler
Nick Ring,grappler
Mike Rio,grappler
Diego Rivas,grappler
Jorge Rivera,striker
Dante Rivera,grappler
Francisco Rivera,striker
Jimmie Rivera,striker
Irwin Rivera,grappler
Jerome Rivera,striker
Pedro Rizzo,striker
Karl Roberson,striker
Andre Roberts,striker
David Roberts,grappler
Joey Roberts,grappler
Tyrone Roberts,grappler
Ryan Roberts,grappler
Daniel Roberts,grappler
Buddy Roberts,striker
Danny Roberts,striker
Roosevelt Roberts,striker
Kenny Robertson,grappler
Gillian Robertson,grappler
Colin Robinson,grappler
Alvin Robinson,grappler
Vagner Rocha,grappler
Carlos Eduardo Rocha,striker
Lucas Rocha,grappler
Keith Rockel,grappler
Luke Rockhold,striker
Gregory Rodrigues,grappler
Kleydson Rodrigues,striker
Paul Rodriguez,grappler
Ricco Rodriguez,grappler
Manuel Rodriguez,grappler
Yair Rodriguez,striker
Mike Rodriguez,striker
Marina Rodriguez,striker
Daniel Rodriguez,striker
Ray Rodriguez,grappler
Ronaldo Rodriguez,grappler
Drako Rodriguez,grappler
Victor Rodriguez,striker
Piera Rodriguez,grappler
Christian Rodriguez,grappler
Pete Rodriguez,striker
Nick Roehrick,grappler
Marcos Rogerio de Lima,striker
Max Rohskopf,grappler
Marcelo Rojo,striker
Shane Roller,grappler
Jared Rollins,grappler
Alexandr Romanov,grappler
Ricardo Romero,grappler
Yoel Romero,grappler
Roberto Romero,grappler
Mara Romero Borella,grappler
Cortavious Romious,grappler
Juancamilo Ronderos,grappler
Rongzhu,grappler
Jesse Ronson,striker
George Roop,striker
Joao Roque,grappler
Aaron Rosa,striker
Charles Rosa,grappler
Karol Rosa,grappler
Raul Rosas Jr.,grappler
Jake Rosholt,grappler
Jared Rosholt,grappler
Kevin Rosier,striker
Shannon Ross,striker
Kristian Rothaermel,grappler
Ben Rothwell,striker
Khalil Rountree Jr.,striker
Ronda Rousey,grappler
Phil Rowe,grappler
Brandon Royval,striker
Jairzinho Rozenstruik,striker
Mauricio Rua,grappler
Marco Ruas,grappler
Rodrigo Ruas,grappler
Rodolfo Rubio Perez,grappler
Gabe Ruediger,grappler
Mauricio Ruffy,striker
Eddie Ruiz,grappler
Montserrat Conejo Ruiz,grappler
Mike Russow,grappler
Bas Rutten,striker
Nursulton Ruziboev,striker
Cameron Saaiman,grappler
Pat Sabatini,grappler
Amir Sadollah,striker
Nazim Sadykhov,grappler
Frankie Saenz,grappler
Saparbeg Safarov,grappler
Tarec Saffiedine,striker
Jason Saggo,grappler
Kiru Sahota,grappler
Benoit Saint Denis,grappler
Ovince Saint Preux,striker
Lukasz Sajewski,grappler
Augusto Sakai,striker
Alessio Sakara,grappler
Gokhan Saki,striker
Kazushi Sakuraba,grappler
Hayato Sakurai,grappler
Justin Salas,grappler
Ivan Salaverry,striker
Roman Salazar,grappler
Luis Saldana,grappler
Muslim Salikhov,striker
Quillan Salkilld,grappler
Sean Salmon,grappler
Boston Salmon,striker
John Salter,grappler
Vinicius Salvador,striker
Josh Samman,grappler
Josh Sampo,grappler
Diego Sanchez,grappler
Eddie Sanchez,grappler
Julian Sanchez,grappler
Joby Sanchez,striker
Andrew Sanchez,grappler
Robert Sanchez,grappler
Jesse Sanders,grappler
Luke Sanders,striker
Jerrod Sanders,grappler
Cory Sandhagen,grappler
Joseph Sandoval,striker
Hector Sandoval,grappler
Chris Sanford,grappler
Roldan Sangcha'an,grappler
Martin Sano,grappler
Duda Santana,grappler
Jorge Santiago,grappler
Mike Santiago,grappler
Adriano Santos,grappler
Paulo Santos,grappler
Iliarde Santos,grappler
Leonardo Santos,grappler
Thiago Santos,striker
Bruno Santos,grappler
Yana Santos,grappler
Taila Santos,grappler
Daniel Santos,grappler
Gabriel Santos,grappler
Luana Santos,grappler
Djorden Santos,grappler
Mairon Santos,striker
Nick Sanzo,striker
Daniel Sarafian,striker
Jeka Saragih,grappler
Diego Saraiva,grappler
Yuki Sasaki,grappler
Yuta Sasaki,grappler
Paul Sass,striker
Takenori Sato,striker
Takashi Sato,striker
Uran Satybaldiev,grappler
Townsend Saunders,grappler
Ben Saunders,striker
Chris Saunders,grappler
Matt Sayles,striker
Mark Scanlon,grappler
Eric Schafer,grappler
Kerry Schall,grappler
Brendan Schaub,grappler
Fabiano Scherner,grappler
Samy Schiavo,grappler
Pat Schilling,striker
Semmy Schilt,striker
Matt Schnell,striker
Alex Schoenauer,grappler
Darrill Schoonover,grappler
Nate Schroeder,grappler
Mark Schultz,grappler
Justin Scoggins,grappler
Brad Scott,striker
Zachary Scroggin,grappler
Neil Seery,grappler
Stefan Sekulic,grappler
Pete Sell,striker
Matthew Semelsberger,striker
Andrei Semenov,grappler
Mackens Semerzier,grappler
Ivan Serati,grappler
Matt Serra,grappler
Nick Serra,grappler
Adrian Serrano,grappler
Fredy Serrano,grappler
Igor Severino,grappler
Dan Severn,striker
Rosi Sexton,grappler
Edmen Shahbazyan,grappler
Don Shainis,grappler
Liliya Shakirova,grappler
Kamal Shalorus,striker
Ken Shamrock,striker
Frank Shamrock,striker
Sean Sharaf,grappler
Eric Shelton,grappler
Sean Sherk,grappler
Chase Sherman,striker
Valentina Shevchenko,grappler
Antonina Shevchenko,striker
Shi Ming,grappler
Jake Shields,grappler
Shunichi Shimizu,grappler
Wade Shipp,grappler
Josh Shockley,striker
Josh Shockman,grappler
Liudvik Sholinian,striker
Jack Shore,grappler
Sam Sicilia,grappler
Serhiy Sidey,striker
Steven Siler,striker
Assuerio Silva,grappler
Anderson Silva,striker
Wanderlei Silva,striker
Thiago Silva,striker
Jay Silva,striker
Antonio Silva,striker
Erick Silva,striker
Leandro Silva,grappler
Claudio Silva,grappler
Wagner Silva,striker
Joaquim Silva,striker
Felipe Silva,striker
Bruno 'Bulldog' Silva,grappler
Bruno Silva,striker
Gabriel Silva,grappler
Natalia Silva,striker
Karine Silva,grappler
Erik Silva,grappler
Jean Silva,striker
Danny Silva,grappler
Douglas Silva de Andrade,striker
Marcus Silveira,grappler
Elias Silverio,grappler
Jamey Simmons,striker
Ricky Simon,grappler
Aaron Simpson,grappler
Wes Sims,striker
Tony Sims,grappler
Lodune Sincaid,grappler
Rory Singer,striker
Elvis Sinosic,striker
Dennis Siver,striker
Chas Skelly,grappler
Joe Slick,grappler
Maurice Smith,striker
Patrick Smith,striker
Scott Smith,striker
Trevor Smith,grappler
Anthony Smith,striker
Colton Smith,grappler
Gilbert Smith,grappler
Leslie Smith,striker
Devonte Smith,striker
Cole Smith,grappler
Braxton Smith,grappler
Elijah Smith,grappler
Jacobe Smith,grappler
Dmitrii Smoliakov,striker
Louis Smolka,grappler
Cameron Smotherman,grappler
Richie Smullen,grappler
Peter Sobotta,grappler
Renato Sobral,grappler
Rameau Thierry Sokoudjou,grappler
Joe Solecki,grappler
Joe Son,grappler
Song Kenan,striker
Song Yadong,striker
Chael Sonnen,grappler
Jin Soo Son,grappler
Benardo Sopaj,grappler
Sean Soriano,grappler
Punahele Soriano,grappler
Dmitry Sosnovskiy,grappler
Ben Sosoli,grappler
Krzysztof Soszynski,grappler
George Sotiropoulos,grappler
Greg Soto,grappler
Alex Soto,grappler
Joe Soto,grappler
Andre Soukhamthath,grappler
Bobby Southworth,grappler
Jacare Souza,grappler
Edimilson Souza,striker
Livinha Souza,grappler
Bruno Souza,grappler
Ketlen Souza,striker
Chris Spang,grappler
Ryan Spann,grappler
Tommy Speer,striker
Sean Spencer,striker
Felicia Spencer,grappler
Eric Spicely,grappler
Daniel Spitz,striker
Serghei Spivac,grappler
Daniel Spohn,grappler
Pete Spratt,striker
Austin Springer,grappler
Georges St-Pierre,grappler
Andreas Stahl,grappler
Ron Stallings,striker
Cody Stamann,grappler
Cristina Stanciu,grappler
Brian Stann,striker
Josh Stansbury,striker
Clifford Starks,grappler
