year,rating,prediction,residual
1993,1458.770638591018,1521.636897944567,-62.86625935354891
1994,1484.7442847253128,1526.5130421473677,-41.76875742205493
1995,1527.2318305678903,1531.3891863501685,-4.157355782278273
1996,1505.357381993793,1536.2653305529693,-30.907948559176248
1997,1528.3033101045248,1541.1414747557683,-12.83816465124346
1998,1561.2161157397106,1546.017618958569,15.198496781141557
1999,1559.066498894825,1550.8937631613699,8.172735733455056
2000,1561.5401332620654,1555.7699073641706,5.770225897894761
2001,1619.7933280528864,1560.6460515669714,59.14727648591497
2002,1605.55573329952,1565.5221957697722,40.03353752974772
2003,1615.9717362880192,1570.3983399725712,45.57339631544801
2004,1627.804358153766,1575.274484175372,52.52987397839411
2005,1570.4664815174017,1580.1506283781728,-9.68414686077108
2006,1562.883501083734,1585.0267725809736,-22.14327149723954
2007,1568.2504340032392,1589.9029167837743,-21.652482780535138
2008,1600.362629234157,1594.7790609865751,5.5835682475819794
2009,1614.1591295132896,1599.655205189374,14.503924323915498
2010,1627.5371728226287,1604.531349392175,23.005823430453802
2011,1617.9687139423277,1609.4074935949757,8.561220347351991
2012,1609.1997405932234,1614.2836377977765,-5.083897204553068
2013,1622.6123490072598,1619.1597820005773,3.452567006682557
2014,1600.6920289267703,1624.035926203378,-23.343897276607777
2015,1611.9902788938257,1628.912070406177,-16.92179151235132
2016,1640.1406735135001,1633.7882146089778,6.3524589045223365
2017,1647.4350691186992,1638.6643588117786,8.770710306920591
2018,1654.6462956223547,1643.5405030145794,11.105792607775356
2019,1656.751121485735,1648.4166472173802,8.334474268354825
2020,1655.8687732764606,1653.292791420181,2.575981856279668
2021,1646.2366368896007,1658.16893562298,-11.932298733379184
2022,1649.0349060089995,1663.0450798257807,-14.010173816781162
2023,1652.620145707952,1667.9212240285815,-15.301078320629586
2024,1661.9939806364214,1672.7973682313823,-10.803387594960896
2025,1662.4163597784086,1677.673512434183,-15.257152655774462
