date,red,blue,red_result,red_tot_str_pct,blue_tot_str_pct,red_td_pct,blue_td_pct,red_sig_str_pct,blue_sig_str_pct,red_head_sig_str_pct,blue_head_sig_str_pct,red_body_sig_str_pct,blue_body_sig_str_pct,red_leg_sig_str_pct,blue_leg_sig_str_pct,red_dist_sig_str_pct,blue_dist_sig_str_pct,red_clch_sig_str_pct,blue_clch_sig_str_pct,red_gnd_sig_str_pct,blue_gnd_sig_str_pct,avg_red_kd,avg_blue_kd,avg_red_tot_str_lnd,avg_blue_tot_str_lnd,avg_red_td_lnd,avg_blue_td_lnd,avg_red_sub_att,avg_blue_sub_att,avg_red_rev,avg_blue_rev,avg_red_ctrl,avg_blue_ctrl,avg_red_sig_str_lnd,avg_blue_sig_str_lnd,avg_red_head_sig_str_lnd,avg_blue_head_sig_str_lnd,avg_red_body_sig_str_lnd,avg_blue_body_sig_str_lnd,avg_red_leg_sig_str_lnd,avg_blue_leg_sig_str_lnd,avg_red_dist_sig_str_lnd,avg_blue_dist_sig_str_lnd,avg_red_clch_sig_str_lnd,avg_blue_clch_sig_str_lnd,avg_red_gnd_sig_str_lnd,avg_blue_gnd_sig_str_lnd,red_rating,red_rd,blue_rating,blue_rd,exp_red_outcome,red_height,red_reach,red_stance,blue_height,blue_reach,blue_stance
2009-01-31,Jon Fitch,Akihiro Gono,1.0,0.75,0.5625,0.5714285714285714,0.0,0.5714285714285714,0.35,0.375,0.1,0.8181818181818182,0.5,0.875,0.75,0.4074074074074074,0.26666666666666666,0.8,0.6666666666666666,0.5652173913043478,0.5,0.0,0.0,58.0,6.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,202.66666666666666,40.333333333333336,13.333333333333334,2.3333333333333335,5.0,0.3333333333333333,6.0,1.0,2.3333333333333335,1.0,3.6666666666666665,1.3333333333333333,5.333333333333333,0.6666666666666666,4.333333333333333,0.3333333333333333,1991.552154704848,151.9889284079928,1573.3663438575634,257.73640988564557,0.8513976922864387,72,74,Orthodox,67,68,Switch
2008-10-18,Dan Hardy,Akihiro Gono,1.0,0.32105263157894737,0.5321100917431193,0.0,0.75,0.3064516129032258,0.5233644859813084,0.18045112781954886,0.4444444444444444,0.6,0.7,0.6363636363636364,0.5833333333333334,0.31176470588235294,0.5102040816326531,0.25,0.5714285714285714,0.0,1.0,0.0,0.0,20.333333333333332,19.333333333333332,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,22.0,19.0,18.666666666666668,8.0,9.333333333333334,4.0,4.666666666666667,7.0,4.666666666666667,17.666666666666668,16.666666666666668,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,1500.0,350.0,1760.5879870129072,286.78937982469057,0.29792314727267627,72,74,Orthodox,67,68,Switch
2012-10-13,Jon Fitch,Erick Silva,1.0,0.7521367521367521,0.631578947368421,0.6666666666666666,0.6666666666666666,0.6259541984732825,0.5757575757575758,0.6160714285714286,0.5217391304347826,0.7142857142857143,0.5714285714285714,0.6,1.0,0.4166666666666667,0.4,0.5714285714285714,0.5,0.6703296703296703,0.8888888888888888,0.0,0.0,58.666666666666664,8.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,176.0,59.0,27.333333333333332,6.333333333333333,23.0,4.0,3.3333333333333335,1.3333333333333333,1.0,1.0,1.6666666666666667,1.3333333333333333,5.333333333333333,2.3333333333333335,20.333333333333332,2.6666666666666665,2036.1256361941494,117.0497722423593,1713.1999332115702,228.6524721258662,0.8085781283420567,72,74,Orthodox,72,74,Orthodox
2014-05-10,Matt Brown,Erick Silva,1.0,0.755868544600939,0.5492957746478874,1.0,0.0,0.7108433734939759,0.46296296296296297,0.7013888888888888,0.425,0.7619047619047619,0.5,1.0,1.0,0.6285714285714286,0.3170731707317073,0.7708333333333334,0.75,0.7708333333333334,1.0,0.0,0.3333333333333333,53.666666666666664,13.0,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,75.66666666666667,76.0,39.333333333333336,8.333333333333334,33.666666666666664,5.666666666666667,5.333333333333333,2.0,0.3333333333333333,0.6666666666666666,14.666666666666666,4.333333333333333,12.333333333333334,1.0,12.333333333333334,3.0,1756.0216530095583,110.1664508548144,1706.9022495154177,171.0930652083839,0.5591036756716077,72,75,Orthodox,72,74,Orthodox
2015-08-23,Neil Magny,Erick Silva,1.0,0.6470588235294118,0.5441176470588235,0.4444444444444444,0.75,0.5190839694656488,0.4915254237288136,0.48760330578512395,0.2777777777777778,0.8571428571428571,0.625,1.0,0.9333333333333333,0.45544554455445546,0.4909090909090909,0.6363636363636364,0.6666666666666666,0.7894736842105263,0.0,0.0,0.0,44.0,12.333333333333334,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,81.66666666666667,55.333333333333336,22.666666666666668,9.666666666666666,19.666666666666668,3.3333333333333335,2.0,1.6666666666666667,1.0,4.666666666666667,15.333333333333334,9.0,2.3333333333333335,0.6666666666666666,5.0,0.0,1806.860820939009,129.8627217658024,1740.3330753927437,141.3235465607393,0.5810451444072582,75,80,Orthodox,72,74,Orthodox
2017-12-16,Jordan Mein,Erick Silva,1.0,0.5300546448087432,0.3137254901960784,0.75,0.0,0.4015748031496063,0.2708333333333333,0.3793103448275862,0.13157894736842105,0.5,0.6666666666666666,0.8,1.0,0.3387096774193548,0.2553191489361702,0.5833333333333334,1.0,0.4339622641509434,0.0,0.0,0.0,32.333333333333336,5.333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,157.33333333333334,13.333333333333334,17.0,4.333333333333333,14.666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,7.0,4.0,2.3333333333333335,0.3333333333333333,7.666666666666667,0.0,1587.7475013914861,154.24986309092534,1660.9113137376175,117.35319131066346,0.4112666706746823,72,73,Orthodox,72,74,Orthodox
2006-06-28,Jonathan Goulet,Luke Cummo,1.0,0.7471264367816092,0.75,0.6666666666666666,0.0,0.5294117647058824,0.6190476190476191,0.5,0.5294117647058824,0.75,1.0,0.5,1.0,0.4,0.6666666666666666,0.0,0.6666666666666666,0.5517241379310345,0.5,0.0,0.6666666666666666,21.666666666666668,10.0,2.0,0.0,0.0,1.0,0.3333333333333333,0.0,231.0,38.333333333333336,6.0,4.333333333333333,4.666666666666667,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.0,1.3333333333333333,5.333333333333333,1.0,1532.3763133382372,233.13234526059375,1566.4438106162727,258.7765403903857,0.46715693370805556,72,73,Orthodox,72,74,Orthodox
2005-11-05,Joe Stevenson,Luke Cummo,1.0,0.7532467532467533,0.7252747252747253,0.5555555555555556,1.0,0.6060606060606061,0.5128205128205128,0.5555555555555556,0.4857142857142857,0.8333333333333334,0.75,0.0,0.0,0.25,0.4,1.0,0.75,0.6956521739130435,0.6,0.0,0.0,19.333333333333332,22.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,194.33333333333334,40.666666666666664,6.666666666666667,6.666666666666667,5.0,5.666666666666667,1.6666666666666667,1.0,0.0,0.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.0,5.333333333333333,3.0,1500.0,350.0,1500.0,350.0,0.5,67,70,Orthodox,72,74,Orthodox
2008-03-01,Luigi Fioravanti,Luke Cummo,1.0,0.6548223350253807,0.7522935779816514,0.8125,0.0,0.4266666666666667,0.41025641025641024,0.3939393939393939,0.3103448275862069,0.5,0.7777777777777778,0.8,0.0,0.2,0.2727272727272727,0.5714285714285714,0.5833333333333334,0.4482758620689655,0.6,0.0,0.0,43.0,27.333333333333332,4.333333333333333,0.0,0.0,0.0,0.0,0.0,211.66666666666666,13.333333333333334,10.666666666666666,5.333333333333333,8.666666666666666,3.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.0,0.6666666666666666,2.0,1.3333333333333333,2.3333333333333335,8.666666666666666,1.0,1482.0167506329487,189.11057189669165,1551.676389535362,187.5619805902794,0.42403298990039745,68,70,Orthodox,72,74,Orthodox
2008-08-09,Tamdan McCrory,Luke Cummo,1.0,0.6875,0.6885245901639344,0.5714285714285714,0.5,0.5909090909090909,0.44,0.5641025641025641,0.18181818181818182,0.8,0.5454545454545454,0.0,1.0,0.2222222222222222,0.3076923076923077,0.7272727272727273,0.625,0.6666666666666666,0.5,0.0,0.0,14.666666666666666,14.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,205.66666666666666,44.333333333333336,8.666666666666666,3.6666666666666665,7.333333333333333,0.6666666666666666,1.3333333333333333,2.0,0.0,1.0,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.6666666666666667,5.333333333333333,0.6666666666666666,1558.2844665834461,236.98922298895377,1467.3604899664188,170.8665566547397,0.5947891236739804,76,76,Switch,72,74,Orthodox
2007-12-08,Jonathan Goulet,Paul Georgieff,1.0,0.75,0.5,1.0,0.0,0.6470588235294118,0.4,0.625,0.3333333333333333,1.0,1.0,0.0,1.0,0.4444444444444444,0.3333333333333333,0.0,0.5,0.875,0.75,0.0,0.0,33.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,212.0,0.0,11.0,12.0,10.0,9.0,1.0,1.0,0.0,2.0,4.0,8.0,0.0,1.0,7.0,3.0,1501.546155989808,169.76267158897735,1500.0,350.0,0.5014005234577618,72,73,Orthodox,74,74,Orthodox
