name,height,weight,reach,stance,wins,losses,draws
Rilley Dutro,"5' 8""",125 lbs.,--,Orthodox,11,4,0
Bill Duvall,"6' 2""",185 lbs.,--,Southpaw,1,2,0
Merab Dvalishvili,"5' 6""",135 lbs.,"68.0""",Orthodox,19,4,0
David Dvorak,"5' 5""",125 lbs.,"68.0""",Orthodox,20,6,0
Matt Dwyer,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0
Rolando Dy,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1
Ben Earwood,"5' 8""",170 lbs.,--,Orthodox,12,3,0
Cody East,"6' 3""",245 lbs.,--,Orthodox,12,3,0
Marvin Eastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1
Mike Easton,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0
Maurice Eazel,"5' 7""",135 lbs.,--,,7,15,0
Vincent Eazelle,"5' 11""",155 lbs.,--,,9,2,0
Ross Ebanez,"5' 9""",154 lbs.,--,Southpaw,20,10,0
Brian Ebersole,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1
Roybert Echeverria,"5' 5""",125 lbs.,"67.0""",Switch,7,1,0
Mark Eddiva,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0
Frankie Edgar,"5' 6""",135 lbs.,"68.0""",Orthodox,23,11,1
Abdul-Kerim Edilov,"6' 2""",205 lbs.,--,Orthodox,17,4,0
Johnny Eduardo,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13,0
Yves Edwards,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1
Justin Edwards,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0
Leon Edwards,"6' 2""",170 lbs.,"74.0""",Southpaw,22,5,0
Te Edwards,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0
Adli Edwards,--,145 lbs.,--,,4,1,0
Joselyne Edwards,"5' 8""",135 lbs.,"70.0""",Orthodox,14,6,0
Tom Egan,"5' 11""",170 lbs.,--,Orthodox,7,5,0
Stephanie Egger,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
Justin Eilers,"6' 1""",235 lbs.,--,Orthodox,19,7,1
Jon Olav Einemo,"6' 6""",253 lbs.,--,Orthodox,6,3,0
Per Eklund,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1
John Elam,--,--,--,,2,0,0
Evan Elder,"5' 10""",155 lbs.,"72.0""",Switch,9,2,0
Billy Elekana,"6' 3""",205 lbs.,"77.0""",Southpaw,7,2,0
John Paul Elias,"6' 4""",205 lbs.,--,,3,1,0
Joao Elias,"5' 3""",125 lbs.,"64.0""",Southpaw,17,4,1
Saul Elizondo,"5' 7""",135 lbs.,--,,6,8,0
Darren Elkins,"5' 10""",145 lbs.,"71.0""",Orthodox,29,11,0
Jake Ellenberger,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0
Joe Ellenberger,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0
Tim Elliott,"5' 7""",125 lbs.,"66.0""",Southpaw,21,13,1
Oban Elliott,"6' 0""",170 lbs.,"72.0""",Orthodox,12,2,0
Eddy Ellis,"5' 9""",170 lbs.,--,Orthodox,21,16,1
Lisa Ellis,"5' 4""",115 lbs.,--,,15,11,0
Anna Elmose,"5' 3""",115 lbs.,--,Orthodox,3,2,0
Cameron Else,"5' 9""",135 lbs.,"71.0""",Switch,10,6,0
Aaron Ely,"5' 8""",135 lbs.,--,,5,2,0
Sovannahry Em,"5' 4""",135 lbs.,--,,3,1,0
Ramazan Emeev,"5' 10""",170 lbs.,"76.0""",Southpaw,20,6,0
Aleksander Emelianenko,"6' 6""",255 lbs.,--,Orthodox,23,7,0
Fedor Emelianenko,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0
Rob Emerson,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0
Jamall Emmers,"5' 10""",145 lbs.,"74.0""",Orthodox,21,8,0
Josh Emmett,"5' 6""",145 lbs.,"70.0""",Orthodox,19,4,0
Marius Enache,"5' 11""",155 lbs.,--,,3,3,0
Kevin Engel,"6' 2""",170 lbs.,--,,5,1,0
Kolton Englund,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0
Oliver Enkamp,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0
Alex Enlund,"5' 10""",145 lbs.,--,Orthodox,14,2,0
Kenny Ento,"6' 2""",192 lbs.,--,,14,15,0
Ian Entwistle,"5' 5""",135 lbs.,--,Orthodox,9,3,0
Andy Enz,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0
Won Jin Eoh,"5' 7""",160 lbs.,--,Orthodox,5,5,1
Josh Epps,--,130 lbs.,--,,6,7,0
Abdellah Er-Ramy,"6' 0""",185 lbs.,"74.0""",Orthodox,7,2,0
Steve Erceg,"5' 8""",125 lbs.,"68.0""",Orthodox,12,4,0
Tom Erikson,"6' 3""",280 lbs.,--,Orthodox,9,4,1
Konstantin Erokhin,"5' 11""",230 lbs.,--,Orthodox,9,3,0
Julian Erosa,"6' 1""",145 lbs.,"74.0""",Southpaw,30,12,0
Jarno Errens,"5' 11""",145 lbs.,"73.0""",Orthodox,14,6,1
Ivan Erslan,"6' 2""",205 lbs.,"72.0""",Orthodox,14,4,0
Nick Ertl,"5' 9""",155 lbs.,--,,8,6,0
Chel Erwin-Davis,"6' 0""",170 lbs.,--,,5,1,0
Bobby Escalante,--,130 lbs.,--,,5,6,0
Eric Esch,"5' 11""",350 lbs.,--,Orthodox,15,10,1
Pro Escobedo,--,205 lbs.,--,,1,0,0
Cole Escovedo,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0
Efrain Escudero,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0
Evan Esguerra,--,145 lbs.,--,,8,7,0
Carla Esparza,"5' 1""",115 lbs.,"63.0""",Orthodox,20,8,0
Juan Espino,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0
Jordan Espinosa,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0
Jodie Esquibel,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0
Rafael Estevam,"5' 8""",125 lbs.,"69.0""",Orthodox,13,0,0
Achilles Estremadura,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0
Shaun Etchell,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0
Terry Etim,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0
Fred Ettish,"6' 0""",180 lbs.,--,Southpaw,1,1,0
Scott Ettling,--,135 lbs.,--,,4,2,0
Sijara Eubanks,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0
Billy Evangelista,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0
Rashad Evans,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1
Doug Evans,"5' 9""",155 lbs.,--,Orthodox,13,10,0
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0
Dan Evensen,"6' 3""",250 lbs.,--,Orthodox,11,4,0
Tonya Evinger,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0
Movsar Evloev,"5' 7""",145 lbs.,"72.0""",Orthodox,19,0,0
Andre Ewell,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0
Neal Ewing,--,185 lbs.,--,,6,0,0
Jessica Eye,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0
Edward Faaloloto,--,155 lbs.,"70.0""",Orthodox,2,5,0
Urijah Faber,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0
Melinda Fabian,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,2
Wagnney Fabiano,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0
Bartosz Fabinski,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0
Ron Faircloth,"5' 9""",205 lbs.,--,Orthodox,33,20,0
Jason Fairn,"6' 1""",230 lbs.,--,,4,5,0
Zarah Fairn,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,0
Rinat Fakhretdinov,"6' 0""",170 lbs.,"74.0""",Orthodox,23,1,1
Maiquel Falcao,"5' 11""",185 lbs.,--,Orthodox,37,10,0
Pedro Falcao,"5' 6""",135 lbs.,"66.0""",Orthodox,16,4,0
Brodie Farber,"6' 1""",170 lbs.,--,Orthodox,16,7,0
Joao Paulo Faria,"5' 9""",155 lbs.,--,,1,1,0
Kalindra Faria,"5' 7""",125 lbs.,--,Switch,18,8,1
Jair Farias,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,0
Chance Farrar,"5' 9""",145 lbs.,--,Southpaw,8,3,0
Rico Farrington,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0
Kelly Faszholz,"5' 8""",135 lbs.,--,Orthodox,4,2,0
Rodney Faverus,"6' 0""",215 lbs.,--,Southpaw,25,20,3
Paul Felder,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0
Carlos Felipe,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0
JP Felty,--,170 lbs.,--,,4,5,0
Feng Pengchao,--,135 lbs.,--,,15,9,1
Feng Xiaocan,"5' 7""",115 lbs.,"66.0""",Southpaw,10,3,0
Kevin Ferguson,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0
Rhadi Ferguson,"5' 7""",205 lbs.,--,,3,0,0
Tony Ferguson,"5' 11""",170 lbs.,"76.0""",Orthodox,26,11,0
Josh Ferguson,"5' 5""",125 lbs.,--,Orthodox,10,5,0
CJ Fernandes,"6' 2""",170 lbs.,--,,14,8,3
Bibiano Fernandes,"5' 7""",139 lbs.,--,Orthodox,20,3,0
Gabriella Fernandes,"5' 6""",125 lbs.,"66.0""",Southpaw,10,3,0
Kaue Fernandes,"5' 9""",155 lbs.,"73.0""",Orthodox,10,2,0
Emily Fernandez,--,--,--,,0,0,0
Lucas Fernando,"6' 3""",185 lbs.,"80.0""",,9,2,0
Alexandre Ferreira,"5' 7""",205 lbs.,--,Orthodox,18,6,0
Cezar Ferreira,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0
Diego Ferreira,"5' 9""",155 lbs.,"74.0""",Orthodox,19,6,0
Erisson Ferreira,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0
Brunno Ferreira,"5' 10""",185 lbs.,"72.0""",Orthodox,13,2,0
Scott Ferrozzo,"5' 11""",323 lbs.,--,Orthodox,4,2,0
Timo Feucht,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0
Andre Fialho,"6' 0""",170 lbs.,"74.0""",Orthodox,16,8,0
Drew Fickett,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0
Scott Fiedler,"6' 4""",235 lbs.,--,Orthodox,0,1,0
Ron Fields,"6' 2""",200 lbs.,--,Orthodox,28,32,1
Michal Figlak,"5' 10""",155 lbs.,"70.0""",Orthodox,8,2,0
Deiveson Figueiredo,"5' 5""",135 lbs.,"68.0""",Orthodox,24,4,1
Francisco Figueiredo,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1
Anthony Figueroa,"5' 4""",135 lbs.,--,Orthodox,11,8,1
Edwin Figueroa,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0
Paulo Filho,"5' 8""",185 lbs.,--,Southpaw,23,6,3
Jafel Filho,"5' 7""",125 lbs.,"68.0""",Orthodox,16,3,0
Andre Fili,"5' 11""",145 lbs.,"74.0""",Orthodox,24,12,0
Mirko Filipovic,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2
Brady Fink,"6' 0""",183 lbs.,--,Orthodox,2,3,0
Jesse Finney,"6' 0""",170 lbs.,--,,5,1,0
Jan Finney,"5' 8""",135 lbs.,--,Orthodox,11,12,0
Torrez Finney,"5' 8""",185 lbs.,"75.0""",Orthodox,10,0,0
Luigi Fioravanti,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0
Nick Fiore,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0
Manon Fiorot,"5' 7""",125 lbs.,"65.0""",Orthodox,12,1,0
Luiz Firmino,"5' 6""",154 lbs.,--,Orthodox,19,8,0
Spencer Fisher,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0
Chris Fishgold,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1
Bryanna Fissori,"5' 4""",145 lbs.,--,,2,4,0
Jon Fitch,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1
Isi Fitikefu,"5' 10""",205 lbs.,--,,6,0,0
Rafael Fiziev,"5' 8""",155 lbs.,"71.0""",Switch,12,4,0
Colin Fletcher,"6' 2""",155 lbs.,--,Orthodox,14,8,0
AJ Fletcher,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0
Nathan Fletcher,"5' 7""",135 lbs.,"70.0""",Orthodox,9,2,0
Jimmy Flick,"5' 7""",125 lbs.,"68.0""",Orthodox,17,8,0
Luke Flores,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0
Ty Flores,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0
Alejandro Flores,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0
Kenny Florian,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0
Darrius Flowers,"5' 9""",155 lbs.,"71.0""",Orthodox,12,8,1
Cody Floyd,--,--,--,,2,0,0
Bobby Flynn,--,170 lbs.,--,,6,4,0
Caros Fodor,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0
Mal Foki,"5' 7""",220 lbs.,--,Orthodox,5,5,0
Matt Foki,"5' 7""",220 lbs.,--,Orthodox,5,4,0
AJ Fonseca,"5' 4""",145 lbs.,--,,5,4,0
Rob Font,"5' 8""",135 lbs.,"71.0""",Orthodox,22,8,0
Claudionor Fontinelle,"5' 5""",185 lbs.,--,Orthodox,10,15,1
Jesse Forbes,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0
Sterling Ford,"5' 10""",155 lbs.,--,,15,7,0
Codale Ford,"5' 9""",170 lbs.,--,,11,9,0
Raheam Forest,"5' 11""",170 lbs.,"73.0""",Switch,7,2,0
Jussier Formiga,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0
Renee Forte,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0
Brianna Fortino,"5' 0""",115 lbs.,"62.0""",Southpaw,9,3,0
Marcel Fortuna,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0
Brian Foster,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0
Xavier Foupa-Pokam,"6' 1""",185 lbs.,--,Open Stance,32,22,0
Mason Fowler,"5' 11""",170 lbs.,--,,2,0,0
Brandon Foxworth,"5' 11""",145 lbs.,--,Orthodox,18,4,0
Hermes Franca,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0
Glaico Franca Moreira,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0
Francisco France,"6' 0""",205 lbs.,--,,13,5,1
John Franchi,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0
Rich Franklin,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0
Xavier Franklin,"5' 6""",135 lbs.,"66.0""",Southpaw,5,1,0
Zoila Frausto,"5' 4""",135 lbs.,--,Orthodox,13,5,0
Stephanie Frausto,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0
Zane Frazier,"6' 5""",250 lbs.,--,Orthodox,4,11,0
Gary Frazier,"6' 0""",245 lbs.,--,Orthodox,3,3,0
Justin Frazier,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0
Ian Freeman,"5' 11""",225 lbs.,--,Orthodox,20,7,1
Jason Freeman,"6' 2""",225 lbs.,--,,6,4,0
Kennedy Freeman,--,135 lbs.,--,,6,0,0
Willamy Freire,"5' 8""",155 lbs.,--,Orthodox,26,6,0
Patricio Freire,"5' 5""",145 lbs.,"65.0""",,26,4,0
Patricky Freire,"5' 7""",155 lbs.,"71.0""",,17,8,0
Jeremy Freitag,"6' 1""",205 lbs.,--,,6,10,0
Rafael Freitas,--,205 lbs.,--,Orthodox,3,6,0
Donavon Frelow,"5' 7""",135 lbs.,--,Orthodox,6,3,0
Josh Fremd,"6' 4""",185 lbs.,"76.0""",Orthodox,11,6,0
Clay French,"5' 7""",161 lbs.,--,Southpaw,19,7,0
Mike French,"5' 10""",145 lbs.,--,,9,10,0
Matt Frevola,"5' 9""",155 lbs.,"71.0""",Orthodox,11,5,1
Jinh Yu Frey,"5' 3""",115 lbs.,"65.0""",Southpaw,11,10,0
Artem Frolov,"5' 10""",185 lbs.,--,,11,0,0
Sarah Frota,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0
Daniel Frunza,"6' 1""",170 lbs.,"73.0""",Orthodox,9,2,0
Don Frye,"6' 1""",219 lbs.,--,Orthodox,20,9,1
Tony Fryklund,"6' 0""",185 lbs.,--,Orthodox,14,9,1
Adam Fugitt,"6' 1""",170 lbs.,"77.0""",Southpaw,10,4,0
Jesse Fujarczyk,"6' 4""",225 lbs.,--,Southpaw,2,2,0
Katsuhisa Fujii,"6' 0""",205 lbs.,--,Orthodox,9,18,1
Megumi Fujii,"5' 3""",113 lbs.,--,,26,3,0
Kazuyuki Fujita,"6' 0""",235 lbs.,--,Orthodox,15,12,0
Keisuke Fujiwara,"5' 6""",139 lbs.,--,Switch,17,12,5
Riki Fukuda,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0
Masio Fullen,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0
Travis Fulton,"6' 0""",240 lbs.,--,Orthodox,253,53,10
Sam Fulton,--,--,--,,0,2,0
Masakatsu Funaki,"6' 0""",185 lbs.,--,Southpaw,39,13,2
Ricardo Funch,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0
Katsuaki Furuki,"6' 0""",168 lbs.,--,,1,1,0
James Gabert,--,178 lbs.,--,,6,4,0
Gustavo Gabriel,"5' 6""",125 lbs.,--,Orthodox,13,1,0
Claudia Gadelha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0
Alavutdin Gadjiev,"6' 2""",185 lbs.,--,Orthodox,18,13,1
Magomed Gadzhiyasulov,"6' 2""",205 lbs.,"75.0""",Orthodox,9,1,0
Justin Gaethje,"5' 11""",155 lbs.,"70.0""",Orthodox,26,5,0
Sheila Gaff,"5' 5""",135 lbs.,--,Orthodox,9,7,0
Muin Gafurov,"5' 7""",135 lbs.,"68.0""",Orthodox,20,6,0
Mitch Gagnon,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0
Brandon Gaines,"6' 3""",185 lbs.,--,,5,21,0
Travis Galbraith,"6' 0""",170 lbs.,--,Orthodox,18,7,0
Dave Galera,"5' 11""",135 lbs.,--,Orthodox,5,1,0
Zelg Galesic,"6' 2""",185 lbs.,--,Orthodox,11,9,0
Mickey Gall,"6' 2""",170 lbs.,"74.0""",Switch,7,7,0
Daniel Gallemore,"6' 5""",265 lbs.,--,,7,3,0
Tom Gallicchio,"5' 10""",170 lbs.,--,Southpaw,19,10,0
Turrell Galloway,"5' 3""",145 lbs.,--,,8,6,0
Eric Galvan,--,155 lbs.,--,,0,0,0
Andre Galvao,"5' 7""",168 lbs.,--,Orthodox,5,2,0
Marcos Galvao,"5' 7""",135 lbs.,--,Orthodox,18,8,1
Lucas Gamaza,--,170 lbs.,--,,8,4,0
Joey Gambino,"5' 7""",145 lbs.,--,Orthodox,9,2,0
Manvel Gamburyan,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0
Mateusz Gamrot,"5' 10""",155 lbs.,"70.0""",Southpaw,24,3,0
Shamil Gamzatov,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1,0
Ariel Gandulla,"5' 11""",205 lbs.,--,Orthodox,7,9,0
Ciryl Gane,"6' 4""",245 lbs.,"81.0""",Orthodox,13,2,0
Sean Gannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0
Junye Gao,--,125 lbs.,--,,19,12,0
Eduardo Garagorri,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0
Cody Garbrandt,"5' 8""",135 lbs.,"65.0""",Orthodox,14,6,0
Leonard Garcia,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1
Edgar Garcia,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0
Alejandro Garcia,"5' 7""",145 lbs.,--,,14,10,0
Alex Garcia,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0
Nick Garcia,"5' 4""",125 lbs.,--,,8,3,0
Steve Garcia,"6' 0""",145 lbs.,"75.0""",Southpaw,17,5,0
Elias Garcia,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0
Rafa Garcia,"5' 7""",155 lbs.,"70.0""",Orthodox,17,4,0
Fernie Garcia,"5' 7""",135 lbs.,"67.0""",Orthodox,10,5,0
Rulon Gardner,"6' 3""",265 lbs.,--,Orthodox,1,0,0
David Gardner,"5' 11""",155 lbs.,--,Orthodox,18,21,0
Pablo Garza,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0
Azamat Gashimov,"5' 6""",125 lbs.,--,Orthodox,8,3,0
Brian Gassaway,"6' 1""",170 lbs.,--,Orthodox,29,20,2
Kelvin Gastelum,"5' 9""",185 lbs.,"71.0""",Southpaw,20,9,0
Willie Gates,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0
Melissa Gatto,"5' 5""",135 lbs.,"69.0""",Orthodox,9,2,2
Sean Gauci,"5' 5""",125 lbs.,"64.0""",Switch,10,1,0
Louis Gaudinot,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0
Ateba Gautier,"6' 4""",185 lbs.,"81.0""",Switch,7,1,0
Manuel Gaxhja,"5' 8""",155 lbs.,--,Switch,7,0,0
Shamil Gaziev,"6' 4""",265 lbs.,"78.0""",Orthodox,14,1,0
Charlene Gellner,"5' 2""",125 lbs.,--,,0,4,0
Chad George,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0
Paul Georgieff,"6' 2""",170 lbs.,--,Orthodox,6,2,0
Brian Geraghty,"5' 7""",155 lbs.,--,Orthodox,26,18,1
Derek Getzel,"6' 0""",155 lbs.,--,,8,5,0
Karine Gevorgyan,"5' 4""",125 lbs.,"63.0""",,3,3,0
Yanis Ghemmouri,"5' 9""",135 lbs.,"69.0""",Orthodox,12,3,0
Darrel Gholar,"5' 8""",194 lbs.,--,Orthodox,5,6,0
Tiki Ghosn,"5' 10""",170 lbs.,--,Orthodox,10,7,1
Christos Giagos,"5' 10""",155 lbs.,"71.0""",Orthodox,20,12,0
Joe Giannetti,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0
Nick Gibbons,"5' 10""",155 lbs.,--,,2,1,0
James Giboo,"5' 11""",170 lbs.,--,Orthodox,13,5,0
Lance Gibson,"5' 9""",185 lbs.,--,Orthodox,4,5,0
Lee Gibson,"5' 7""",155 lbs.,--,,12,4,0
Cody Gibson,"5' 10""",135 lbs.,"71.0""",Orthodox,22,11,0
Chase Gibson,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0
Kenny Giddens,"5' 11""",155 lbs.,--,,12,7,0
Thomas Gifford,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0
Joseph Gigliotti,"5' 11""",185 lbs.,--,Orthodox,7,2,0
Joey Gilbert,"5' 11""",155 lbs.,--,Orthodox,2,3,0
Trevin Giles,"6' 0""",170 lbs.,"74.0""",Orthodox,16,7,0
Kultar Gill,"6' 0""",154 lbs.,--,Orthodox,12,8,0
Jesse Gillespie,--,185 lbs.,--,,3,2,0
Gregor Gillespie,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0
Jason Gilliam,"6' 0""",170 lbs.,--,Orthodox,14,9,0
Micheal Gillmore,"5' 11""",170 lbs.,"72.0""",Orthodox,6,5,0
Krishaun Gilmore,--,--,--,,0,1,0
Alex Gilpin,"5' 7""",145 lbs.,--,Orthodox,11,1,0
Bob Gilstrap,"6' 3""",200 lbs.,--,Orthodox,5,7,0
Eperaim Ginting,"5' 4""",135 lbs.,"64.0""",Orthodox,6,1,0
Demetrius Gioulacos,"5' 11""",185 lbs.,--,,0,1,0
Billy Giovanella,"5' 8""",125 lbs.,--,,9,5,0
He-Man Gipson,--,--,--,,1,2,0
Israel Giron,"5' 8""",155 lbs.,--,,19,5,0
Brandon Girtz,"5' 7""",155 lbs.,--,,14,7,0
Jason Glaza,"6' 0""",230 lbs.,--,,3,2,0
Mike Glenn,--,205 lbs.,--,,5,6,0
Ricky Glenn,"6' 0""",170 lbs.,"70.0""",Southpaw,22,9,2
Mark Godbeer,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0
Clint Godfrey,"5' 6""",135 lbs.,--,Southpaw,13,3,0
Loopy Godinez,"5' 2""",115 lbs.,"61.0""",Orthodox,13,5,0
Jason Godsey,"6' 2""",230 lbs.,--,Orthodox,16,16,0
Allan Goes,"6' 0""",205 lbs.,--,Orthodox,10,5,2
Billy Ray Goff,"5' 10""",170 lbs.,"72.0""",Switch,9,3,0
Amiran Gogoladze,"6' 1""",170 lbs.,"74.0""",Switch,14,3,0
Jonny Goh,"5' 11""",155 lbs.,--,,3,4,0
Hannah Goldy,"5' 4""",115 lbs.,"61.0""",Orthodox,6,4,0
Marcelo Golm,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0
Denise Gomes,"5' 2""",115 lbs.,"63.0""",Orthodox,10,3,0
Sergio Gomez,"5' 6""",155 lbs.,--,Orthodox,10,3,0
Frank Gomez,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0
Alan Gomez,--,155 lbs.,--,,2,0,0
David Gomez,--,155 lbs.,--,,1,2,0
Ulysses Gomez,"5' 6""",125 lbs.,--,Orthodox,9,5,0
Joey Gomez,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0
Luis Gomez,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0
Joey Gomez,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0
Edson Gomez,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0
Silvana Gomez Juarez,"5' 3""",115 lbs.,"65.0""",Orthodox,11,5,0
Takanori Gomi,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0
William Gomis,"6' 0""",145 lbs.,"73.0""",Southpaw,14,3,0
Akihiro Gono,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8
Gabriel Gonzaga,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0
Justin Gonzales,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0
Fernando Gonzalez,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0
Nick Gonzalez,"5' 6""",155 lbs.,--,Orthodox,17,12,0
Fabian Gonzalez,"5' 10""",135 lbs.,--,,2,1,0
Lewis Gonzalez,"5' 10""",170 lbs.,--,Orthodox,11,3,0
Jason Gonzalez,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0
Pearl Gonzalez,"5' 4""",115 lbs.,--,Orthodox,6,3,0
Jorge Gonzalez,"6' 2""",205 lbs.,"76.0""",Orthodox,16,4,0
Mikey Gonzalez,"5' 11""",155 lbs.,"74.0""",Orthodox,7,2,0
Erick Gonzalez,"5' 11""",155 lbs.,"75.0""",Orthodox,14,8,0
Jennifer Gonzalez,"5' 2""",125 lbs.,--,,13,5,0
Kier Gooch,--,155 lbs.,--,,2,7,0
Lyman Good,"6' 0""",170 lbs.,"74.0""",Orthodox,21,6,0
Jared Gooden,"6' 0""",170 lbs.,"77.0""",Orthodox,23,10,0
Gary Goodridge,"6' 3""",249 lbs.,--,Orthodox,23,22,1
Jordan Goodwin,--,155 lbs.,--,,0,0,0
Gerard Gordeau,"6' 5""",216 lbs.,--,Orthodox,2,2,0
