name,height,reach,stance
Chad Anheliger,66,64,Orthodox
Yoji Anjo,71,71,Orthodox
Magomed Ankalaev,75,75,Orthodox
Gadzhimurad Antigulov,71,70,Orthodox
Adam Antolin,65,63,Orthodox
Angelo Antonio,74,74,Orthodox
Vanilto Antunes,72,72,Orthodox
Azunna Anyanwu,73,73,Orthodox
Shinsho Anzai,67,70,Orthodox
Jin Aoi,68,70,Orthodox
Shinya Aoki,71,71,Southpaw
Aoriqileng,67,69,Orthodox
Josh Appelt,70,70,Southpaw
Erik Apple,72,72,Orthodox
Kenji Arai,70,70,Southpaw
Romie Aram,70,70,Orthodox
Felipe Arantes,68,73,Orthodox
Igor Araujo,73,77,Orthodox
Viviane Araujo,64,68,Orthodox
Julio Arce,67,70,Southpaw
Art Arciniega,68,68,Orthodox
Alice Ardelean,63,62,Orthodox
Tristan Arenal,70,71,Orthodox
Dan Argueta,67,68,Southpaw
Reza Arianto,70,71,Orthodox
Hashem Arkhagha,74,75,Orthodox
Andrei Arlovski,75,77,Orthodox
Garrett Armfield,66,70,Orthodox
Joey Armstrong,70,71,Orthodox
Austin Arnett,72,72,Orthodox
Ricardo Arona,71,71,Orthodox
Eli Aronov,70,72,Orthodox
Chalid Arrab,71,71,Orthodox
Akbarh Arreola,70,71,Southpaw
Matt Arroyo,70,72,Orthodox
Antonio Arroyo,75,73,Orthodox
Gilles Arsene,69,69,Southpaw
Veta Arteaga,67,67,Orthodox
Cesar Arzamendia,71,71,Orthodox
Kai Asakura,68,69,Orthodox
Teddy Ash,73,73,Switch
Arman Ashimov,66,66,Orthodox
Yanal Ashmouz,69,69,Orthodox
Asjabharan,66,66,Orthodox
Askar Askar,67,69,Orthodox
Askar Askarov,66,67,Orthodox
Cyril Asker,72,74,Orthodox
Khusein Askhabov,68,69,Orthodox
Scott Askham,75,75,Southpaw
Ben Askren,71,73,Orthodox
Ibo Aslan,75,77,Orthodox
Tom Aspinall,77,78,Orthodox
Bruno Assis,74,74,Orthodox
Junior Assuncao,69,72,Orthodox
Raphael Assuncao,65,66,Orthodox
Michael Aswell,68,69,Orthodox
Bazigit Atajev,73,73,Orthodox
Rich Attonito,70,72,Orthodox
Olivier Aubin-Mercier,69,70,Southpaw
Pat Audinwood,72,72,Orthodox
Jose Augusto,75,75,Orthodox
Marcus Aurelio,70,74,Orthodox
David Avellan,69,69,Orthodox
Blas Avena,72,74,Orthodox
Levi Avera,73,73,Orthodox
Anthony Avila,67,67,Orthodox
Chris Avila,70,70,Orthodox
Julia Avila,67,68,Orthodox
Saad Awad,71,71,Orthodox
Javy Ayala,73,73,Orthodox
Jessin Ayari,72,73,Orthodox
Abu Azaitar,69,76,Orthodox
Ottman Azaitar,68,71,Switch
Luiz Azeredo,69,69,Orthodox
Luciano Azevedo,75,75,Orthodox
Hunter Azure,68,69,Orthodox
Niklas Backstrom,73,73,Orthodox
Seth Baczynski,75,75,Orthodox
Abdul Azeem Badakhshi,68,70,Orthodox
Ryan Bader,74,74,Orthodox
Izabela Badurek,65,65,Orthodox
Miguel Baeza,74,74,Orthodox
Ali Bagautinov,64,65,Orthodox
Mehdi Baghdad,73,73,Orthodox
Melsik Baghdasaryan,69,70,Southpaw
Siyar Bahadurzada,71,73,Orthodox
Ignacio Bahamondes,75,75,Orthodox
Bahatebole Batebolati,68,71,Southpaw
Shamar Bailey,69,75,Southpaw
Jordan Bailey,69,69,Orthodox
Scott Baker,72,72,Orthodox
Bryan Baker,75,75,Orthodox
Jin Bala,69,69,Orthodox
Balajin,69,72,Orthodox
Oluwale Bamgbose,71,78,Switch
Stephen Banaszak,72,72,Orthodox
Marcin Bandel,70,70,Orthodox
Humberto Bandenay,71,71,Southpaw
Tae Hyun Bang,69,71,Switch
Yohan Banks,70,71,Orthodox
Shauna Bannon,65,65,Switch
Antonio Banuelos,65,63,Orthodox
Renan Barao,66,70,Orthodox
Junior Barata,70,70,Orthodox
Maycee Barber,65,65,Switch
Bryan Barberena,72,72,Southpaw
Dione Barbosa,66,66,Orthodox
Edson Barboza,71,75,Orthodox
Raoni Barcelos,67,67,Orthodox
Daniel Barez,66,66,Orthodox
Danny Barlow,74,79,Southpaw
Luke Barnatt,78,77,Orthodox
James Barnes,68,71,Orthodox
Nick Barnes,71,71,Orthodox
Shonte Barnes,71,76,Southpaw
Josh Barnett,75,78,Orthodox
Chris Barnett,69,75,Orthodox
Chris Barnhizer,70,71,Orthodox
David Baron,66,66,Switch
Phil Baroni,69,72,Orthodox
Dan Barrera,69,69,Orthodox
Carlos Barreto,76,76,Orthodox
Jose Barreto,72,73,Southpaw
Peter Barrett,70,73,Southpaw
Marc-Andre Barriault,73,74,Orthodox
David Barrios,66,66,Orthodox
Alexandre Barros,69,69,Southpaw
Ricardo Barros,73,73,Orthodox
Francimar Barroso,73,75,Orthodox
Pat Barry,71,74,Orthodox
Dean Barry,70,72,Orthodox
Enrique Barzola,67,70,Orthodox
Javid Basharat,69,69,Orthodox
Farid Basharat,68,71,Orthodox
Austin Bashi,66,70,Orthodox
Stephen Bass,69,69,Orthodox
Sean Bassett,70,71,Orthodox
Ryan Bastianelli,65,65,Orthodox
Shayna Baszler,67,67,Orthodox
Namsrai Batbayar,66,67,Orthodox
Michel Batista,75,75,Orthodox
Bryan Battle,73,77,Orthodox
Alan Baudot,75,79,Orthodox
Mario Bautista,69,69,Switch
Chris Beal,67,69,Orthodox
Donovan Beard,74,78,Orthodox
Rudy Bears,71,71,Southpaw
Salvador Becerra,69,69,Orthodox
Ariel Beck,66,66,Southpaw
Jack Becker,70,71,Orthodox
Jeff Bedard,66,66,Orthodox
Eric Bedard,74,74,Orthodox
Johnny Bedford,70,71,Orthodox
Rolando Bedoya,71,74,Orthodox
Chase Beebe,67,67,Orthodox
Lyle Beerbohm,70,70,Southpaw
Allan Begosso,65,66,Orthodox
Azamat Bekoev,72,72,Orthodox
Mirsad Bektic,68,70,Orthodox
Diana Belbita,67,68,Orthodox
Alan Belcher,74,75,Orthodox
Vitor Belfort,72,74,Southpaw
Yousri Belgaroui,77,79,Orthodox
Rodolfo Bellato,75,77,Orthodox
Danilo Belluardo,72,74,Southpaw
Joey Beltran,73,75,Orthodox
Marco Beltran,68,69,Orthodox
Joseph Benavidez,64,65,Southpaw
Mike Bencic,72,72,Orthodox
Dave Beneteau,74,74,Orthodox
Karla Benitez,63,63,Orthodox
Gabriel Benitez,68,71,Southpaw
Charles Bennett,68,68,Orthodox
Josh Bennett,76,76,Orthodox
DeAnna Bennett,64,68,Orthodox
Benjamin Bennett,72,73,Switch
Lance Benoist,71,72,Southpaw
Joe Benoit,69,69,Orthodox
Ryan Benoit,65,68,Orthodox
Pat Benson,69,69,Orthodox
Len Bentley,69,69,Orthodox
Steve Berger,71,71,Orthodox
Kenneth Bergh,74,74,Orthodox
Bret Bergmark,69,69,Orthodox
Keith Berish,72,72,Orthodox
Dennis Bermudez,66,66,Orthodox
Manny Bermudez,70,71,Orthodox
Talita Bernardo,64,68,Orthodox
Dave Berry,70,71,Orthodox
Keith Berry,73,73,Orthodox
Dieusel Berto,69,69,Orthodox
Edson Berto,66,66,Orthodox
Allen Berube,68,68,Orthodox
Anton Berzin,74,74,Orthodox
Scott Bessac,76,76,Orthodox
Matt Bessette,70,70,Orthodox
Khadzhi Bestaev,78,76,Orthodox
Fernando Bettega,71,72,Orthodox
Arjan Bhullar,73,75,Orthodox
KB Bhullar,76,78,Switch
Bibulatov Magomed,65,65,Orthodox
David Bielkheden,70,71,Orthodox
Blake Bilder,68,68,Switch
Jonas Bilharinho,71,75,Switch
Jeremiah Billington,69,69,Orthodox
Scott Bills,70,70,Orthodox
Anthony Birchak,68,69,Orthodox
Chris Birchler,75,75,Switch
Angad Bisht,67,67,Orthodox
Michael Bisping,73,75,Orthodox
Amaury Bitetti,69,69,Orthodox
Caio Bittencourt,72,75,Orthodox
Davi Bittencourt,65,65,Orthodox
Simon Biyong,74,74,Orthodox
Jan Blachowicz,74,78,Orthodox
Jason Black,68,68,Orthodox
Brad Blackburn,70,73,Orthodox
Jason Blackford,70,71,Orthodox
Tom Blackledge,74,74,Orthodox
Sherrard Blackledge,71,75,Orthodox
Da'Mon Blackshear,70,72,Switch
Chasen Blair,70,71,Orthodox
Erin Blanchfield,64,66,Orthodox
Maximo Blanco,68,71,Orthodox
David Blanco,67,67,Orthodox
Curtis Blaydes,76,80,Orthodox
Tereza Bleda,69,71,Orthodox
Arlene Blencowe,65,65,Orthodox
Byron Bloodworth,68,68,Orthodox
Dashawn Boatwright,72,72,Orthodox
Dan Bobish,74,74,Southpaw
Mark Bocek,68,75,Orthodox
Kyle Bochniak,67,70,Orthodox
James Bochnovic,76,81,Orthodox
Jeremy Boczulak,70,71,Orthodox
Tim Boetsch,72,74,Orthodox
Galore Bofando,71,72,Switch
Jay Bogan,68,70,Orthodox
Roman Bogatov,68,73,Orthodox
Derek Bohi,76,76,Orthodox
Jerry Bohlander,71,71,Orthodox
Mandy Bohm,67,71,Orthodox
Kotetsu Boku,69,69,Orthodox
Gaston Bolanos,67,69,Orthodox
Kyle Bolt,74,74,Orthodox
Denys Bondar,66,69,Orthodox
Luc Bondole,74,74,Orthodox
Tony Bonello,74,74,Orthodox
Gabriel Bonfim,73,72,Orthodox
Ismael Bonfim,68,71,Orthodox
Jesse Bongfeldt,72,72,Orthodox
Marcos Bonilla,70,70,Orthodox
Stephan Bonnar,76,79,Orthodox
Rogerio Bontorin,65,67,Orthodox
Ray Borg,64,63,Orthodox
Igor Borisov,72,72,Orthodox
Kevin Borjas,65,68,Orthodox
Calen Born,68,72,Switch
Caio Borralho,73,75,Southpaw
Zachary Borrego,74,78,Switch
Viacheslav Borshchev,71,69,Orthodox
Tanner Boser,74,75,Orthodox
Steve Bosse,71,72,Orthodox
Marcus Bossett,73,73,Orthodox
Chris Bostick,70,71,Orthodox
Poliana Botelho,68,67,Orthodox
Francois Botha,74,74,Orthodox
Gregory Bouchelaghem,74,74,Switch
Roy Boughton,72,72,Orthodox
Rich Bouphanouvong,67,67,Orthodox
Mike Bourke,72,72,Orthodox
Jess Bouscal,70,71,Orthodox
Tai Bowden,71,71,Orthodox
Melton Bowen,72,72,Orthodox
Kyron Bowen,75,73,Orthodox
Brian Bowles,67,70,Orthodox
Roger Bowling,69,68,Orthodox
Blake Bowman,74,74,Orthodox
Ashe Bowman,69,69,Orthodox
Anvar Boynazarov,69,69,Orthodox
Colley Bradford,67,67,Orthodox
Kyle Bradley,69,71,Orthodox
Paul Bradley,69,69,Orthodox
Sean Brady,70,72,Orthodox
Ebenezer Fontes Braga,72,72,Orthodox
Ramiz Brahimaj,70,72,Orthodox
Adam Bramhald,70,70,Orthodox
Joe Brammer,68,68,Orthodox
David Branch,73,78,Orthodox
Billy Brand,66,65,Orthodox
Diego Brandao,67,64,Orthodox
Bruna Brasil,66,65,Orthodox
Michael Bravo,70,71,Orthodox
Martin Bravo,68,71,Southpaw
Roman Bravo-Young,74,74,Orthodox
Mike Breeden,70,70,Orthodox
Tom Breese,75,73,Southpaw
Elves Brener,70,72,Orthodox
Chris Brennan,68,68,Orthodox
Charlie Brenneman,70,70,Orthodox
Robert Breslin,71,71,Orthodox
Mack Brewer,74,74,Orthodox
Marcos Brigagao,75,76,Southpaw
Jason Brilz,71,71,Orthodox
Marcus Brimage,64,71,Southpaw
Aaron Brink,75,75,Orthodox
Henry Briones,68,69,Orthodox
Marcelo Brito,73,73,Orthodox
Joanderson Brito,68,72,Orthodox
Kaik Brito,71,72,Orthodox
Icaro Brito,68,70,Orthodox
Antwain Britt,73,77,Orthodox
Drew Brokenshire,70,71,Orthodox
Mike Bronzoulis,72,72,Orthodox
Jonathan Brookins,72,74,Southpaw
Will Brooks,70,72,Orthodox
Jarred Brooks,63,62,Switch
Rob Broughton,74,74,Orthodox
Lee Brousseau,73,73,Orthodox
Matt Brown,72,75,Orthodox
Mike Brown,66,70,Orthodox
Dominic Brown,71,71,Orthodox
Todd Brown,71,71,Orthodox
Terrell Brown,72,73,Orthodox
Chris Brown,71,72,Orthodox
Frederick Brown,72,72,Orthodox
Randy Brown,75,78,Orthodox
Damien Brown,70,68,Orthodox
TJ Brown,69,72,Switch
Humberto Brown Morrison,70,70,Orthodox
Travis Browne,78,79,Orthodox
Junie Browning,69,69,Orthodox
Jules Bruchez,72,72,Southpaw
Justin Bruckmann,69,69,Orthodox
Cody Brundage,72,72,Orthodox
Steve Bruno,70,70,Orthodox
Fernando Bruno,66,66,Orthodox
Derek Brunson,73,77,Southpaw
Josh Bryant,70,70,Orthodox
Dennis Bryant,72,72,Orthodox
Robert Bryczek,72,75,Orthodox
Lukasz Brzeski,76,78,Orthodox
Justin Buchholz,72,73,Orthodox
Zak Bucia,70,70,Orthodox
Courtney Buck,70,70,Orthodox
Joaquin Buckley,70,76,Southpaw
Martin Buday,76,77,Orthodox
Julia Budd,67,67,Orthodox
Dylan Budka,72,75,Switch
Mike Budnik,69,68,Orthodox
Francisco Bueno,69,69,Orthodox
Mayra Bueno Silva,66,66,Orthodox
Paul Buentello,74,77,Orthodox
Modestas Bukauskas,75,78,Switch
Lee Kwan Bum,74,74,Orthodox
Josh Bumgarner,73,73,Orthodox
Shawn Bunch,65,65,Orthodox
Felipe Bunes,67,69,Orthodox
Shane Burgos,71,75,Orthodox
Joshua Burkman,70,72,Orthodox
Justin Burlinson,73,74,Switch
Mads Burnell,68,69,Orthodox
Mikey Burnett,66,66,Orthodox
Kevin Burns,70,74,Orthodox
Gilbert Burns,70,71,Orthodox
Josh Burns,73,73,Orthodox
Herbert Burns,69,73,Orthodox
Derrick Burnsed,70,71,Orthodox
Nah-Shon Burrell,71,71,Orthodox
Martin Buschkamp,69,69,Orthodox
George Bush,73,73,Orthodox
Bubba Bush,72,72,Orthodox
Dakota Bush,70,73,Orthodox
Murilo Bustamante,74,74,Orthodox
Nick Bustamante,69,69,Orthodox
Eduardo Bustillos,68,68,Orthodox
Jason Butcher,75,75,Orthodox
Todd Butler,73,73,Southpaw
Goldman Butler,70,71,Orthodox
Ian Butler,68,68,Orthodox
Raphael Butler,75,75,Orthodox
Jesse Butler,70,73,Orthodox
JP Buys,65,67,Orthodox
Dennis Buzukja,69,70,Switch
Charles Byrd,70,73,Orthodox
Steve Byrnes,72,72,Orthodox
Michael Byrnes,71,71,Orthodox
Yan Cabral,71,73,Orthodox
Alvin Cacdac,66,66,Orthodox
Alex Caceres,70,73,Southpaw
Vince Cachero,66,68,Orthodox
Priscila Cachoeira,67,65,Orthodox
Travis Calanoc,68,68,Orthodox
Ricky Calatayud,69,69,Orthodox
Carlos Calderon,71,71,Southpaw
Darrion Caldwell,70,70,Orthodox
Nicolle Caliari,63,62,Orthodox
Taylor Callens,70,70,Orthodox
Cynthia Calvillo,64,64,Orthodox
Joe Camacho,69,69,Orthodox
Frank Camacho,70,73,Orthodox
Lucas Camacho,76,80,Orthodox
Matheus Camilo,70,71,Orthodox
Fabricio Camoes,70,71,Orthodox
Chris Camozzi,74,75,Orthodox
Brian Camozzi,74,78,Orthodox
Ricky Camp,67,67,Orthodox
Mike Campbell,69,69,Southpaw
