name,height,reach,stance
Bethe Correia,65,64,Orthodox
Wesley Correira,75,75,Orthodox
Waldo Cortes-Acosta,76,78,Orthodox
Tracy Cortez,65,65,Orthodox
Reyes Cortez Jr.,67,68,Orthodox
Chad Corvin,77,77,Orthodox
Louis Cosce,69,71,Orthodox
Orion Cosce,71,71,Switch
Miguel Cosio,76,76,Orthodox
Jadson Costa,67,67,Orthodox
Guilherme Costa,70,71,Orthodox
Paulo Costa,73,72,Orthodox
Randy Costa,69,73,Switch
Alessandro Costa,64,67,Orthodox
Melquizael Costa,70,71,Southpaw
Oscar Cota,72,72,Orthodox
Patrick Cote,71,75,Orthodox
JC Cottrell,69,69,Orthodox
JR Coughran,66,66,Orthodox
Rashad Coulter,71,76,Orthodox
Dave Courchaine,68,68,Orthodox
Randy Couture,73,75,Orthodox
Kim Couture,68,68,Orthodox
Ryan Couture,70,73,Orthodox
Nikk Covert,68,68,Orthodox
Colby Covington,71,72,Orthodox
Hailey Cowan,68,67,Southpaw
Jeff Cox,70,70,Orthodox
Nathan Coy,70,69,Southpaw
Andrew Craig,73,76,Orthodox
Paul Craig,75,76,Orthodox
Dan Cramer,74,74,Orthodox
Alberto Crane,65,65,Orthodox
Tim Credeur,75,75,Orthodox
Paul Creighton,66,66,Southpaw
Alexander Crispim,68,70,Orthodox
Alex Crispin,70,71,Orthodox
Kevin Croom,71,73,Orthodox
Kiefer Crosbie,71,70,Switch
Ken Cross,72,72,Southpaw
Jeff Crotty,70,71,Orthodox
Allen Crowder,75,76,Orthodox
Daron Cruickshank,68,72,Switch
Richard Crunkilton,67,67,Orthodox
Jimmy Crute,74,74,Orthodox
Marcio Cruz,76,76,Orthodox
Dominick Cruz,68,68,Orthodox
Aalon Cruz,72,78,Switch
Timmy Cuamba,69,71,Orthodox
Jay Cucciniello,67,67,Orthodox
Emilio Cuellar,66,67,Orthodox
Josh Culibao,70,73,Orthodox
Chris Culley,68,70,Orthodox
Abel Cullum,67,67,Orthodox
Zak Cummings,72,75,Southpaw
Everett Cummings,74,74,Orthodox
Patrick Cummins,74,76,Orthodox
Luke Cummo,72,74,Orthodox
Hugo Cunha,75,79,Orthodox
Alton Cunningham,74,77,Orthodox
AJ Cunningham,70,71,Orthodox
Santo Curatolo,63,62,Southpaw
Larry Cureton,74,74,Orthodox
Jeff Curran,66,69,Orthodox
Kailin Curran,64,65,Orthodox
Pat Curran,69,69,Orthodox
Will Currie,75,76,Switch
Chris Curtis,70,75,Orthodox
Ion Cutelaba,73,75,Southpaw
Gleidson Cutis,69,69,Orthodox
Sarah D'alelio,67,67,Orthodox
Marcos da Matta,64,64,Orthodox
Henrique da Silva,75,76,Orthodox
Ariane da Silva,66,67,Orthodox
Alex Da Silva,68,73,Orthodox
Henrique Da Silva Lopes,75,75,Orthodox
Deni Daffa,70,71,Orthodox
Nicolas Dalby,71,74,Orthodox
Paul Daley,69,76,Orthodox
Dave Dalgliesh,74,74,Orthodox
Richard Dalton,73,73,Orthodox
Aisling Daly,62,64,Orthodox
Marko Damiani,72,72,Orthodox
Leonardo Damiani,70,69,Orthodox
Rodrigo Damm,67,71,Orthodox
Carina Damm,64,64,Orthodox
Batgerel Danaa,67,70,Orthodox
Cindy Dandois,67,67,Orthodox
Peter Danesoe,69,68,Orthodox
Jarjis Danho,75,74,Orthodox
Raymond Daniels,74,74,Southpaw
Marques Daniels,70,71,Orthodox
Anvarbek Daniyalbekov,72,73,Orthodox
Alexandre Dantas,74,74,Orthodox
Eduardo Dantas,70,70,Orthodox
Mac Danzig,68,70,Orthodox
Karen Darabedyan,67,68,Orthodox
Beneil Dariush,70,72,Southpaw
Sean Daugherty,72,72,Orthodox
Kyle Daukaus,75,76,Southpaw
Chris Daukaus,75,76,Orthodox
Brian Davidson,66,66,Orthodox
Rick Davis,69,69,Orthodox
Marcus Davis,70,70,Southpaw
LC Davis,68,69,Southpaw
Phil Davis,74,79,Orthodox
Lemont Davis,68,68,Orthodox
Justin Davis,71,71,Orthodox
Alexis Davis,66,68,Orthodox
Danny Davis,74,74,Orthodox
Brandon Davis,70,72,Orthodox
Mike Davis,72,72,Orthodox
Hakeem Dawodu,68,73,Orthodox
Grant Dawson,70,72,Switch
Jason Day,72,72,Orthodox
Martin Day,70,73,Orthodox
Angel De Anda,69,69,Orthodox
Yorgan De Castro,72,74,Orthodox
Geraldo de Freitas,67,72,Orthodox
Philip De Fries,77,79,Orthodox
Chris de la Rocha,75,80,Orthodox
Montana De La Rosa,67,68,Orthodox
Mark De La Rosa,66,65,Orthodox
Mike de la Torre,71,71,Orthodox
Rodrigo de Lima,67,67,Orthodox
Edilberto de Oliveira,72,72,Orthodox
Johil de Oliveira,66,66,Orthodox
Jorge de Oliveira,68,68,Orthodox
Isabela de Padua,63,64,Orthodox
Gloria de Paula,65,67,Orthodox
Germaine de Randamie,69,71,Orthodox
Reinier de Ridder,76,78,Southpaw
Crezio de Souza,71,72,Orthodox
Carl Deaton,67,69,Orthodox
Tom DeBlass,72,72,Orthodox
Issac DeJesus,68,70,Orthodox
Rafael Del Real,71,71,Orthodox
Shane del Rosario,76,76,Southpaw
Wallen Del Rosario,64,67,Orthodox
Humberto DeLeon,67,68,Orthodox
Rolando Delgado,75,77,Orthodox
Israel Delgado,70,70,Orthodox
Jose Delgado,71,73,Switch
Ante Delija,76,76,Orthodox
Jack Della Maddalena,71,73,Switch
Roland Delorme,69,71,Orthodox
Jon Delos Reyes,66,67,Orthodox
Jason DeLucia,71,71,Southpaw
Yadier DelValle,69,69,Southpaw
Justin DeMoney,71,72,Orthodox
Vanessa Demopoulos,62,59,Orthodox
Chris Dempsey,70,72,Orthodox
Nick Denis,67,67,Orthodox
Thomas Denny,70,70,Orthodox
Robert Densley,69,69,Orthodox
Jason Dent,70,71,Orthodox
Mackenzie Dern,64,63,Orthodox
Booker DeRousse,74,74,Orthodox
Tony DeSouza,72,70,Southpaw
Robelis Despaigne,79,84,Orthodox
Cory Devela,60,60,Orthodox
John Devine,70,71,Orthodox
Edwin DeWees,73,73,Orthodox
Alessio Di Chirico,72,74,Orthodox
Micol Di Segni,63,60,Orthodox
Cyrille Diabate,78,81,Southpaw
Thomas Diagne,73,73,Orthodox
Marc Diakiese,70,73,Orthodox
Tyler Diamond,67,69,Orthodox
Blood Diamond,71,76,Switch
Eldo Xavier Dias,71,71,Orthodox
Rafael Dias,69,69,Orthodox
Hacran Dias,68,69,Orthodox
Victor Dias,66,69,Orthodox
Nick Diaz,73,76,Southpaw
Nate Diaz,72,76,Southpaw
Michael Diaz,74,74,Orthodox
Ryan Diaz,68,70,Orthodox
Adrian Diaz,70,70,Southpaw
Ozzy Diaz,76,79,Orthodox
Mark Dickman,69,69,Orthodox
Josh Diekmann,64,64,Orthodox
Kyle Dietz,68,68,Orthodox
Seth Dikun,70,69,Orthodox
TJ Dillashaw,66,67,Orthodox
Ralph Dillon,74,74,Orthodox
Drew Dimanlig,72,73,Orthodox
Ding Meng,74,73,Orthodox
Rodolfo Marques Diniz,66,66,Orthodox
Jhonata Diniz,76,79,Orthodox
Helio Dipp,77,77,Orthodox
Rico DiSciullo,68,68,Orthodox
Matt Dixon,70,75,Switch
John Dixson,72,72,Orthodox
Anthony Do,64,64,Orthodox
Russell Doane,67,70,Orthodox
Drew Dober,68,70,Southpaw
Shana Dobson,66,69,Orthodox
AJ Dobson,73,76,Orthodox
David Dodd,74,74,Orthodox
John Dodson,63,66,Orthodox
Joe Doerksen,72,75,Orthodox
Mike Dolce,71,71,Orthodox
Roman Dolidze,74,76,Orthodox
Cameron Dollar,71,71,Orthodox
CB Dollaway,74,76,Orthodox
Dennis Dombrow,68,70,Orthodox
OJ Dominguez,70,71,Orthodox
John Donaldson,68,68,Orthodox
Dong Huaxiang,63,61,Switch
Cody Donovan,75,74,Orthodox
Houston Dorr,73,73,Orthodox
Rafael Dos Anjos,68,70,Southpaw
Junior Dos Santos,76,77,Orthodox
Geronimo dos Santos,75,75,Orthodox
Antonio Dos Santos,70,70,Orthodox
Anderson Dos Santos,65,70,Orthodox
Acacio Dos Santos,76,79,Orthodox
Rayanne dos Santos,62,62,Orthodox
Felipe dos Santos,67,70,Orthodox
Tiago dos Santos e Silva,69,70,Orthodox
Oleksandr Doskalchuk,66,66,Southpaw
David Douglas,71,71,Orthodox
Damion Douglas,71,72,Orthodox
Cedric Doumbe,70,70,Orthodox
John Dowdy,70,71,Orthodox
Jordan Dowdy,71,72,Orthodox
Danny Downes,72,72,Orthodox
Derek Downey,73,73,Orthodox
John Doyle,71,71,Orthodox
Edson Drago,76,76,Orthodox
Anthony Drilich,65,65,Southpaw
Kyle Driscoll,71,74,Orthodox
Chris Drumm,68,68,Orthodox
Tomasz Drwal,73,76,Orthodox
Robert Drysdale,75,75,Orthodox
Dricus Du Plessis,73,76,Switch
Hugo Duarte,72,72,Orthodox
Antonio Duarte,67,67,Orthodox
Joe Duarte,70,71,Orthodox
Yuneisy Duben,64,65,Orthodox
Matthieu Duclos,75,77,Orthodox
Emily Ducote,62,63,Orthodox
Viktoriia Dudakova,65,67,Orthodox
Milana Dudieva,63,63,Orthodox
Adin Duenas,66,66,Orthodox
Todd Duffee,75,78,Orthodox
Joe Duffy,70,73,Orthodox
Jack Duffy,67,69,Switch
Alexis Dufresne,69,69,Orthodox
Jessamyn Duke,71,73,Orthodox
Islam Dulatov,75,75,Orthodox
Isaac Dulgarian,67,71,Orthodox
Kelly Dullanty,68,68,Orthodox
Sedriques Dumas,74,79,Orthodox
Norma Dumont,67,67,Orthodox
Chris Duncan,70,71,Orthodox
Christian Leroy Duncan,74,79,Switch
Evan Dunham,70,70,Southpaw
Alex Dunworth,68,68,Orthodox
Tom Duquesnoy,67,68,Orthodox
Albert Duraev,71,75,Orthodox
Reuben Duran,67,71,Orthodox
Cody Durden,67,67,Southpaw
Luiz Dutra,71,71,Orthodox
Rilley Dutro,68,68,Orthodox
Bill Duvall,74,74,Southpaw
Merab Dvalishvili,66,68,Orthodox
David Dvorak,65,68,Orthodox
Matt Dwyer,76,76,Orthodox
Rolando Dy,68,69,Orthodox
Ben Earwood,68,68,Orthodox
Cody East,75,75,Orthodox
Marvin Eastman,69,73,Orthodox
Mike Easton,66,70,Southpaw
Maurice Eazel,67,67,Orthodox
Vincent Eazelle,71,71,Orthodox
Ross Ebanez,69,69,Southpaw
Brian Ebersole,72,73,Southpaw
Roybert Echeverria,65,67,Switch
Mark Eddiva,68,68,Orthodox
Frankie Edgar,66,68,Orthodox
Abdul-Kerim Edilov,74,74,Orthodox
Johnny Eduardo,67,71,Orthodox
Yves Edwards,69,73,Southpaw
Justin Edwards,70,70,Orthodox
Leon Edwards,74,74,Southpaw
Te Edwards,68,72,Orthodox
Adli Edwards,68,70,Orthodox
Joselyne Edwards,68,70,Orthodox
Tom Egan,71,71,Orthodox
Stephanie Egger,66,68,Orthodox
Justin Eilers,73,73,Orthodox
Jon Olav Einemo,78,78,Orthodox
Per Eklund,70,72,Orthodox
John Elam,70,71,Orthodox
Evan Elder,70,72,Switch
Billy Elekana,75,77,Southpaw
John Paul Elias,76,76,Orthodox
Joao Elias,63,64,Southpaw
Saul Elizondo,67,67,Orthodox
Darren Elkins,70,71,Orthodox
Jake Ellenberger,69,71,Orthodox
Joe Ellenberger,69,72,Orthodox
Tim Elliott,67,66,Southpaw
Oban Elliott,72,72,Orthodox
Eddy Ellis,69,69,Orthodox
Lisa Ellis,64,64,Orthodox
Anna Elmose,63,63,Orthodox
Cameron Else,69,71,Switch
Aaron Ely,68,68,Orthodox
Sovannahry Em,64,64,Orthodox
Ramazan Emeev,70,76,Southpaw
Aleksander Emelianenko,78,78,Orthodox
Fedor Emelianenko,72,74,Orthodox
Rob Emerson,69,70,Orthodox
Jamall Emmers,70,74,Orthodox
Josh Emmett,66,70,Orthodox
Marius Enache,71,71,Orthodox
Kevin Engel,74,74,Orthodox
Kolton Englund,70,69,Orthodox
Oliver Enkamp,72,77,Switch
Alex Enlund,70,70,Orthodox
Kenny Ento,74,74,Orthodox
Ian Entwistle,65,65,Orthodox
Andy Enz,75,78,Orthodox
Won Jin Eoh,67,67,Orthodox
Yuji Yannick Ephoeviga,70,71,Orthodox
Josh Epps,66,67,Orthodox
Abdellah Er-Ramy,72,74,Orthodox
Steve Erceg,68,68,Orthodox
Tom Erikson,75,75,Orthodox
Konstantin Erokhin,71,71,Orthodox
Julian Erosa,73,74,Southpaw
Jarno Errens,71,73,Orthodox
Ivan Erslan,74,72,Orthodox
Nick Ertl,69,69,Orthodox
Chel Erwin-Davis,72,72,Orthodox
Bobby Escalante,66,67,Orthodox
Eric Esch,71,71,Orthodox
Pro Escobedo,74,74,Orthodox
Cole Escovedo,67,72,Orthodox
Efrain Escudero,69,71,Orthodox
Evan Esguerra,68,70,Orthodox
Carla Esparza,61,63,Orthodox
Juan Espino,75,80,Orthodox
Jordan Espinosa,66,69,Orthodox
Jodie Esquibel,61,64,Orthodox
Rafael Estevam,68,69,Orthodox
Achilles Estremadura,70,68,Orthodox
Shaun Etchell,67,68,Switch
Terry Etim,73,73,Orthodox
Fred Ettish,72,72,Southpaw
Scott Ettling,67,68,Orthodox
Sijara Eubanks,64,67,Orthodox
Billy Evangelista,68,68,Orthodox
Rashad Evans,72,75,Orthodox
Doug Evans,69,69,Orthodox
Ashlee Evans-Smith,68,67,Orthodox
Dan Evensen,75,75,Orthodox
Tonya Evinger,67,70,Orthodox
Movsar Evloev,67,72,Orthodox
Andre Ewell,68,75,Southpaw
Neal Ewing,72,73,Orthodox
Jessica Eye,66,66,Orthodox
Edward Faaloloto,70,70,Orthodox
Urijah Faber,66,67,Orthodox
Melinda Fabian,66,66,Orthodox
Wagnney Fabiano,66,69,Southpaw
Bartosz Fabinski,72,75,Orthodox
Ron Faircloth,69,69,Orthodox
Jason Fairn,73,73,Orthodox
Zarah Fairn,68,72,Orthodox
Rinat Fakhretdinov,72,74,Orthodox
Maiquel Falcao,71,71,Orthodox
Pedro Falcao,66,66,Orthodox
Brodie Farber,73,73,Orthodox
Joao Paulo Faria,69,69,Orthodox
Kalindra Faria,67,67,Switch
Jair Farias,73,76,Orthodox
Chance Farrar,69,69,Southpaw
Rico Farrington,76,79,Southpaw
Kelly Faszholz,68,68,Orthodox
Rodney Faverus,72,72,Southpaw
Paul Felder,71,70,Orthodox
Carlos Felipe,72,75,Orthodox
JP Felty,71,72,Orthodox
Feng Pengchao,67,68,Orthodox
Feng Xiaocan,67,66,Southpaw
Kevin Ferguson,74,77,Orthodox
Rhadi Ferguson,67,67,Orthodox
Tony Ferguson,71,76,Orthodox
Josh Ferguson,65,65,Orthodox
CJ Fernandes,74,74,Orthodox
Bibiano Fernandes,67,67,Orthodox
Gabriella Fernandes,66,66,Southpaw
Kaue Fernandes,69,73,Orthodox
Lucas Fernando,75,80,Orthodox
Alexandre Ferreira,67,67,Orthodox
Cezar Ferreira,73,78,Southpaw
Diego Ferreira,69,74,Orthodox
Erisson Ferreira,66,70,Orthodox
Brunno Ferreira,70,72,Orthodox
Scott Ferrozzo,71,71,Orthodox
Timo Feucht,75,79,Orthodox
Andre Fialho,72,74,Orthodox
Drew Fickett,70,70,Orthodox
Scott Fiedler,76,76,Orthodox
Ron Fields,74,74,Orthodox
Michal Figlak,70,70,Orthodox
Deiveson Figueiredo,65,68,Orthodox
Francisco Figueiredo,66,68,Southpaw
Anthony Figueroa,64,64,Orthodox
Edwin Figueroa,67,69,Orthodox
Paulo Filho,68,68,Southpaw
Jafel Filho,67,68,Orthodox
Andre Fili,71,74,Orthodox
Mirko Filipovic,74,73,Southpaw
Brady Fink,72,72,Orthodox
Jesse Finney,72,72,Orthodox
Jan Finney,68,68,Orthodox
Torrez Finney,68,75,Orthodox
Luigi Fioravanti,68,70,Orthodox
Nick Fiore,70,72,Orthodox
Manon Fiorot,67,65,Orthodox
Luiz Firmino,66,66,Orthodox
Spencer Fisher,67,68,Southpaw
Chris Fishgold,68,68,Orthodox
Bryanna Fissori,64,64,Orthodox
Jon Fitch,72,74,Orthodox
Isi Fitikefu,70,70,Orthodox
Rafael Fiziev,68,71,Switch
Colin Fletcher,74,74,Orthodox
AJ Fletcher,70,67,Switch
Nathan Fletcher,67,70,Orthodox
Jimmy Flick,67,68,Orthodox
Luke Flores,72,73,Southpaw
Ty Flores,75,73,Switch
Alejandro Flores,70,73,Orthodox
Kenny Florian,70,74,Southpaw
Darrius Flowers,69,71,Orthodox
Cody Floyd,70,71,Orthodox
Bobby Flynn,71,72,Orthodox
Caros Fodor,69,74,Orthodox
Mal Foki,67,67,Orthodox
Matt Foki,67,67,Orthodox
AJ Fonseca,64,64,Orthodox
Rob Font,68,71,Orthodox
Claudionor Fontinelle,65,65,Orthodox
Jesse Forbes,74,75,Southpaw
Sterling Ford,70,70,Orthodox
Codale Ford,69,69,Orthodox
Raheam Forest,71,73,Switch
Jussier Formiga,65,67,Orthodox
Renee Forte,67,71,Orthodox
Brianna Fortino,60,62,Southpaw
Marcel Fortuna,73,74,Orthodox
Brian Foster,69,71,Orthodox
Xavier Foupa-Pokam,73,73,Open Stance
Mason Fowler,71,71,Orthodox
Brandon Foxworth,71,71,Orthodox
Hermes Franca,66,71,Orthodox
Glaico Franca Moreira,72,77,Orthodox
Francisco France,72,72,Orthodox
John Franchi,66,67,Orthodox
Rich Franklin,73,76,Southpaw
Xavier Franklin,66,66,Southpaw
Zoila Frausto,64,64,Orthodox
Stephanie Frausto,62,61,Orthodox
Zane Frazier,77,77,Orthodox
Gary Frazier,72,72,Orthodox
Justin Frazier,72,75,Southpaw
Ian Freeman,71,71,Orthodox
Jason Freeman,74,74,Orthodox
Kennedy Freeman,67,68,Orthodox
Willamy Freire,68,68,Orthodox
Patricio Freire,65,65,Orthodox
Patricky Freire,67,71,Orthodox
Jeremy Freitag,73,73,Orthodox
Rafael Freitas,74,74,Orthodox
Donavon Frelow,67,67,Orthodox
Josh Fremd,76,76,Orthodox
Clay French,67,67,Southpaw
Mike French,70,70,Orthodox
Matt Frevola,69,71,Orthodox
Jinh Yu Frey,63,65,Southpaw
Artem Frolov,70,70,Orthodox
Sarah Frota,66,69,Southpaw
Daniel Frunza,73,73,Orthodox
Don Frye,73,73,Orthodox
Tony Fryklund,72,72,Orthodox
Adam Fugitt,73,77,Southpaw
Jesse Fujarczyk,76,76,Southpaw
Katsuhisa Fujii,72,72,Orthodox
Megumi Fujii,63,63,Orthodox
Kazuyuki Fujita,72,72,Orthodox
Keisuke Fujiwara,66,66,Switch
Riki Fukuda,72,73,Southpaw
Masio Fullen,70,70,Orthodox
Travis Fulton,72,72,Orthodox
Sam Fulton,70,71,Orthodox
Masakatsu Funaki,72,72,Southpaw
Ricardo Funch,70,74,Southpaw
Katsuaki Furuki,72,72,Orthodox
James Gabert,71,72,Orthodox
Gustavo Gabriel,66,66,Orthodox
Claudia Gadelha,64,63,Orthodox
Alavutdin Gadjiev,74,74,Orthodox
Magomed Gadzhiyasulov,74,75,Orthodox
Justin Gaethje,71,70,Orthodox
Sheila Gaff,65,65,Orthodox
Muin Gafurov,67,68,Orthodox
Mitch Gagnon,65,65,Southpaw
Brandon Gaines,75,75,Orthodox
Travis Galbraith,72,72,Orthodox
Dave Galera,71,71,Orthodox
Zelg Galesic,74,74,Orthodox
Mickey Gall,74,74,Switch
Daniel Gallemore,77,77,Orthodox
Tom Gallicchio,70,70,Southpaw
Turrell Galloway,63,63,Orthodox
Andre Galvao,67,67,Orthodox
Marcos Galvao,67,67,Orthodox
Lucas Gamaza,71,72,Orthodox
Joey Gambino,67,67,Orthodox
Manvel Gamburyan,65,67,Orthodox
Mateusz Gamrot,70,70,Southpaw
Shamil Gamzatov,74,76,Orthodox
Ariel Gandulla,71,71,Orthodox
Ciryl Gane,76,81,Orthodox
Sean Gannon,75,75,Southpaw
Junye Gao,66,67,Orthodox
Eduardo Garagorri,69,70,Orthodox
Cody Garbrandt,68,65,Orthodox
Leonard Garcia,70,68,Orthodox
Edgar Garcia,70,71,Orthodox
Alejandro Garcia,67,67,Orthodox
Alex Garcia,69,72,Orthodox
Nick Garcia,64,64,Orthodox
Steve Garcia,72,75,Southpaw
Elias Garcia,65,67,Southpaw
Rafa Garcia,67,70,Orthodox
Fernie Garcia,67,67,Orthodox
Rulon Gardner,75,75,Orthodox
David Gardner,71,71,Orthodox
Pablo Garza,73,73,Orthodox
Azamat Gashimov,66,66,Orthodox
Brian Gassaway,73,73,Orthodox
Kelvin Gastelum,69,71,Southpaw
Willie Gates,68,72,Orthodox
Melissa Gatto,65,69,Orthodox
Sean Gauci,65,64,Switch
Louis Gaudinot,63,63,Orthodox
Ateba Gautier,76,81,Switch
Manuel Gaxhja,68,68,Switch
Shamil Gaziev,76,78,Orthodox
Charlene Gellner,62,62,Orthodox
Chad George,66,68,Southpaw
Paul Georgieff,74,74,Orthodox
Brian Geraghty,67,67,Orthodox
Derek Getzel,72,72,Orthodox
Karine Gevorgyan,64,63,Orthodox
Yanis Ghemmouri,69,69,Orthodox
Darrel Gholar,68,68,Orthodox
Tiki Ghosn,70,70,Orthodox
Christos Giagos,70,71,Orthodox
Joe Giannetti,72,74,Southpaw
Nick Gibbons,70,70,Orthodox
James Giboo,71,71,Orthodox
Lance Gibson,69,69,Orthodox
Lee Gibson,67,67,Orthodox
Cody Gibson,70,71,Orthodox
Chase Gibson,70,72,Orthodox
Kenny Giddens,71,71,Orthodox
Thomas Gifford,73,75,Orthodox
Joseph Gigliotti,71,71,Orthodox
Joey Gilbert,71,71,Orthodox
Trevin Giles,72,74,Orthodox
Kultar Gill,72,72,Orthodox
Jesse Gillespie,72,73,Orthodox
Gregor Gillespie,67,71,Orthodox
Jason Gilliam,72,72,Orthodox
Micheal Gillmore,71,72,Orthodox
Krishaun Gilmore,70,71,Orthodox
Alex Gilpin,67,67,Orthodox
Bob Gilstrap,75,75,Orthodox
Eperaim Ginting,64,64,Orthodox
Demetrius Gioulacos,71,71,Orthodox
Billy Giovanella,68,68,Orthodox
He-Man Gipson,70,71,Orthodox
Israel Giron,68,68,Orthodox
Brandon Girtz,67,67,Orthodox
Jason Glaza,72,72,Orthodox
Mike Glenn,74,74,Orthodox
Ricky Glenn,72,70,Southpaw
Mark Godbeer,76,77,Orthodox
Clint Godfrey,66,66,Southpaw
Loopy Godinez,62,61,Orthodox
Jason Godsey,74,74,Orthodox
Allan Goes,72,72,Orthodox
Billy Ray Goff,70,72,Switch
Amiran Gogoladze,73,74,Switch
Jonny Goh,71,71,Orthodox
Hannah Goldy,64,61,Orthodox
Marcelo Golm,75,75,Orthodox
Denise Gomes,62,63,Orthodox
Sergio Gomez,66,66,Orthodox
Frank Gomez,70,67,Orthodox
Alan Gomez,70,71,Orthodox
David Gomez,70,71,Orthodox
Ulysses Gomez,66,66,Orthodox
Joey Gomez,70,73,Orthodox
Luis Gomez,67,68,Orthodox
Edson Gomez,68,69,Switch
Silvana Gomez Juarez,63,65,Orthodox
Takanori Gomi,67,70,Southpaw
William Gomis,72,73,Southpaw
Akihiro Gono,67,68,Switch
Gabriel Gonzaga,74,76,Orthodox
Justin Gonzales,69,72,Orthodox
Fernando Gonzalez,69,68,Southpaw
Nick Gonzalez,66,66,Orthodox
Fabian Gonzalez,70,70,Orthodox
Lewis Gonzalez,70,70,Orthodox
Jason Gonzalez,74,74,Southpaw
Pearl Gonzalez,64,64,Orthodox
Jorge Gonzalez,74,76,Orthodox
Mikey Gonzalez,71,74,Orthodox
Erick Gonzalez,71,75,Orthodox
Jennifer Gonzalez,62,62,Orthodox
Kier Gooch,70,71,Orthodox
Lyman Good,72,74,Orthodox
Jared Gooden,72,77,Orthodox
Gary Goodridge,75,75,Orthodox
Gerard Gordeau,77,77,Orthodox
Eddie Gordon,72,76,Orthodox
Jared Gordon,69,68,Orthodox
Tebaris Gordon,73,73,Orthodox
Malcolm Gordon,67,71,Switch
Tresean Gore,72,75,Switch
Alex Gorgees,74,74,Switch
Themba Gorimbo,73,77,Orthodox
Tim Gorman,65,65,Southpaw
Chase Gormley,75,75,Orthodox
Jonathan Goulet,72,73,Orthodox
Thibault Gouti,70,72,Orthodox
Wilson Gouveia,73,76,Orthodox
Todd Gouwenberg,73,73,Orthodox
Hugo Govea,70,71,Orthodox
Justin Governale,68,70,Orthodox
Damian Grabowski,73,75,Orthodox
Patryk Grabowski,74,74,Orthodox
Royce Gracie,73,73,Southpaw
Crosley Gracie,69,69,Orthodox
Daniel Gracie,74,74,Orthodox
Ralph Gracie,69,69,Orthodox
Renzo Gracie,70,70,Orthodox
Rickson Gracie,70,70,Switch
Rodrigo Gracie,72,72,Orthodox
Royler Gracie,68,68,Southpaw
Ryan Gracie,69,69,Orthodox
Ralek Gracie,74,74,Orthodox
Rolles Gracie,76,76,Orthodox
Cesar Gracie,70,70,Orthodox
Roger Gracie,76,79,Orthodox
Igor Gracie,71,71,Orthodox
Neiman Gracie,72,72,Orthodox
Kron Gracie,69,70,Southpaw
Bogdan Grad,68,70,Orthodox
Steven Graham,73,73,Orthodox
Scott Graham,76,76,Orthodox
Miranda Granger,67,68,Orthodox
TJ Grant,70,72,Orthodox
Davey Grant,68,69,Orthodox
Dwight Grant,73,76,Switch
Alexa Grasso,65,66,Orthodox
Tony Gravely,65,69,Orthodox
Michael Graves,70,71,Orthodox
Shelton Graves,74,76,Southpaw
James Gray,69,69,Orthodox
Kevin Gray,64,67,Orthodox
Sam Greco,74,74,Orthodox
King Green,70,71,Orthodox
Desmond Green,70,73,Southpaw
Gabe Green,70,73,Switch
Maurice Greene,79,80,Orthodox
Matt Grice,68,70,Orthodox
Forrest Griffin,75,77,Orthodox
Tyson Griffin,66,68,Orthodox
Max Griffin,71,76,Orthodox
Jordan Griffin,70,73,Southpaw
Chad Griggs,73,73,Orthodox
Charalampos Grigoriou,67,67,Orthodox
Chuck Grigsby,78,78,Orthodox
Rodrigo Gripp de Sousa,71,71,Orthodox
Maxim Grishin,75,78,Orthodox
Josh Grispi,71,74,Orthodox
Garrett Gross,69,69,Orthodox
Kendall Grove,78,79,Orthodox
Neil Grove,78,78,Orthodox
Chris Gruetzemacher,68,68,Orthodox
Vik Grujic,71,73,Orthodox
Mike Grundy,67,72,Orthodox
Wang Guan,69,71,Orthodox
Nandor Guelmino,75,75,Orthodox
Fabricio Guerreiro,70,70,Orthodox
Rainn Guerrero,66,65,Orthodox
Shannon Gugerty,70,71,Orthodox
Clay Guida,67,70,Orthodox
Jason Guida,70,70,Orthodox
Melvin Guillard,69,71,Orthodox
Chris Guillen,72,72,Orthodox
Marcelo Guimaraes,72,73,Orthodox
Leonardo Guimaraes,72,72,Orthodox
Brad Gumm,71,71,Orthodox
John Gunderson,69,69,Orthodox
John Gunther,69,72,Orthodox
Jorge Gurgel,67,69,Orthodox
Fabio Gurgel,72,72,Orthodox
Luis Gurule,65,64,Orthodox
Bogdan Guskov,75,76,Orthodox
Gugun Gusman,67,68,Orthodox
Andre Gusmao,72,72,Orthodox
Alexander Gustafsson,77,79,Orthodox
Andreas Gustafsson,73,73,Orthodox
Justin Guthrie,73,73,Orthodox
Horacio Gutierrez,70,70,Orthodox
Chris Gutierrez,69,67,Orthodox
Mando Gutierrez,66,70,Southpaw
Mike Guymon,72,74,Orthodox
Chelsea Hackett,64,66,Switch
Keith Hackney,71,71,Sideways
Cody Haddon,67,69,Orthodox
Jake Hadley,67,70,Southpaw
Steve Hadsel,68,68,Orthodox
Damir Hadzovic,69,70,Orthodox
Bassil Hafez,71,72,Orthodox
Tim Hague,76,76,Orthodox
Yazan Hajeh,69,69,Orthodox
Stoney Hale,72,72,Orthodox
Kevin Haley,74,74,Orthodox
Mark Hall,72,72,Orthodox
Uriah Hall,72,79,Orthodox
Ryan Hall,70,70,Southpaw
Dennis Hallman,69,72,Orthodox
