name,accuracy
svm,0.8879148403256105
svm,0.8822792736380713
svm,0.8829054477144647
svm,0.8810269254852849
svm,0.8822792736380713
svm,0.8885410144020037
svm,0.8791484032561052
svm,0.8797745773324984
svm,0.8885410144020037
svm,0.889167188478397
svm,0.8816530995616781
svm,0.876017532874139
svm,0.8772698810269255
svm,0.8804007514088916
svm,0.8897933625547902
svm,0.8872886662492173
svm,0.8810269254852849
svm,0.8822792736380713
svm,0.8810269254852849
svm,0.8822792736380713
tree,0.8246712586098935
tree,0.8265497808390733
tree,0.8196618659987477
tree,0.8159048215403882
tree,0.8340638697557922
tree,0.8221665623043206
tree,0.8396994364433312
tree,0.8378209142141515
tree,0.8077645585472761
tree,0.8108954289292424
tree,0.8209142141515341
tree,0.8334376956793988
tree,0.8246712586098935
tree,0.8353162179085786
tree,0.8115216030056356
tree,0.841577958672511
tree,0.8340638697557922
tree,0.839073262366938
tree,0.8065122103944896
tree,0.8353162179085786
forest,0.8591108328115216
forest,0.8747651847213526
forest,0.8710081402629931
forest,0.8697557921102066
forest,0.8741390106449592
forest,0.8816530995616781
forest,0.8685034439574202
forest,0.8553537883531622
forest,0.8634940513462742
forest,0.8697557921102066
forest,0.8847839699436444
forest,0.8810269254852849
forest,0.8547276142767689
forest,0.8816530995616781
forest,0.886662492172824
forest,0.8960551033187226
forest,0.8797745773324984
forest,0.889167188478397
forest,0.876017532874139
forest,0.873512836568566
